corpus,V,s,s_over_V,rmse,bic,k,w_gate
Grimm's Fairy Tales,4746,125.5450874312901,0.026452820781982744,0.13991432577151852,-18591.968206520804,999.9999982148712,1.2388583770847392
Grimm's Fairy Tales,4746,262.5498181033729,0.05532023137449914,0.13835765465012576,-18698.167015291277,999.9999999906041,1.1418914384027992
Grimm's Fairy Tales,4746,181.55395856014064,0.03825409999160148,0.1392039283996407,-18640.285407658608,999.9999789104926,1.2006220037255602
Don Quixote,15574,45.0439186186893,0.002892251099183851,0.19987296225827703,-50063.68301738933,999.9999999999999,9.999999999999998
Grimm's Fairy Tales,4746,379.68,0.08,0.13769753893682157,-18743.56250459233,999.9986288847796,1.0631097833754661
Don Quixote,15574,31.148,0.002,0.19806182756071747,-50347.21496551021,999.9999999999999,9.999999999999998
Don Quixote,15574,65.13916156822596,0.004182558210365093,0.19715305744174172,-50490.460691464075,999.9999999999998,9.999999999999998
Don Quixote,15574,192.8333131129501,0.012381746058363305,0.11255711144582024,-67949.5257615769,358.80548192775586,2.660495412181331
Don Quixote,15574,196.9972491178494,0.012649110640673521,0.11304090208797041,-67815.93297159043,276.2508718615988,2.8852233703641583
War and Peace,17445,105.51615735064115,0.00604850429066444,0.2228114560257801,-52296.96887969465,999.9999999999999,9.999999999999998
Don Quixote,15574,411.97623085859925,0.026452820781982744,0.1495454490586075,-59099.14538912206,999.9999709686343,1.6767721353933804
Don Quixote,15574,284.8827551486473,0.018292202077093058,0.150478992401924,-58905.307168748994,999.9999521813468,1.4134474887883417
Don Quixote,15574,861.5572834264494,0.05532023137449913,0.1471410836219095,-59604.00695814923,999.9999875400609,1.9322494706360782
Pride and Prejudice,6729,13.458,0.002,0.1585726973778333,-24704.146379832375,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,19.461957646408134,0.002892251099183851,0.15829519103366135,-24727.718862064063,999.9999999999997,9.999999999999998
Pride and Prejudice,6729,28.14443419754671,0.004182558210365093,0.1560090687948198,-24923.49842735517,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,40.70038537188102,0.00604850429066444,0.1499670803603879,-25455.066994398265,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,58.85786716451453,0.008746896591546222,0.12514060793536358,-27890.666726709813,999.9999999999999,2.9562028646165355
Pride and Prejudice,6729,79.19685322749302,0.011769483315127512,0.10811561018329076,-29858.722245325927,188.7443281344702,3.0556899177009367
Moby Dick,16956,102.55843875250625,0.00604850429066444,0.16663319319064968,-60681.31332632828,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,85.11586550109212,0.01264911064067352,0.11290878133843588,-29274.925931595822,59.643567688130474,3.4786210672873223
Pride and Prejudice,6729,178.00103104196188,0.026452820781982744,0.1483062916059117,-25604.93706757456,999.9999999952785,1.6010539920023927
Don Quixote,15574,595.7693532692015,0.03825409999160148,0.14834542585450536,-59350.099870127895,999.8959408252716,1.8892576043310698
Pride and Prejudice,6729,123.08822777675918,0.018292202077093058,0.14896471641179734,-25545.320789573656,999.9999768923828,1.7074288195717182
Pride and Prejudice,6729,257.41183884348635,0.03825409999160148,0.14736014752088838,-25691.06960664697,999.9999693088438,1.4812423041694796
Canterbury Tales,17653,35.306,0.002,0.17180700285837472,-62099.398204485326,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,372.2498369190046,0.055320231374499124,0.1461431767906597,-25802.673698255174,999.9999987575084,1.3543481824570223
Don Quixote,15574,1245.92,0.08,0.14585373658584122,-59877.7219916602,999.9807337002012,1.81324519532423
Canterbury Tales,17653,51.05690865389252,0.002892251099183851,0.17177244038477338,-62106.5014391001,999.9999999999999,9.999999999999998
Canterbury Tales,17653,106.77424624309936,0.00604850429066444,0.15891375849034342,-64853.62331665964,999.9999999999999,9.999999999999998
Pride and Prejudice,6729,538.32,0.08,0.14494276386412727,-25913.67355425363,999.805318027021,1.223830707228904
Canterbury Tales,17653,198.7134131188039,0.011256637008939212,0.11106163658923346,-77502.92720650986,204.07341227224455,3.173286365563993
Canterbury Tales,17653,154.40896553056547,0.008746896591546222,0.13843610576384288,-69724.18369705454,999.9988702656605,6.293757941820577
Canterbury Tales,17653,223.29475013980968,0.012649110640673521,0.1228869004210886,-73930.69819118327,95.56770759809534,5.030552239472497
Don Quixote,15574,136.22416751674086,0.008746896591546222,0.16525712050896404,-55987.39124596805,999.9999999999999,9.999999999999998
Moby Dick,16956,1356.48,0.08,0.1513700566202585,-63939.151127395344,999.5793389221043,1.8919524276603157
Canterbury Tales,17653,466.97164526434136,0.026452820781982744,0.15719925815997818,-65236.604965836465,999.9940478569476,2.595019942671258
Arabian Nights (Vol 1),13883,27.766000000000002,0.002,0.17457184109735457,-48377.45609481058,126.22072096543383,9.999999999999998
Arabian Nights (Vol 1),13883,40.1531220099694,0.002892251099183851,0.17310308639789834,-48612.05273876649,999.9999999999999,7.754514074673719
Canterbury Tales,17653,322.9122432669238,0.018292202077093058,0.15789083102392135,-65081.62255553309,999.9997211128011,2.7152930887098843
Don Quixote,15574,94.19940582280799,0.00604850429066444,0.18642120019942218,-52233.86837561036,999.9999999999999,9.999999999999998
Arabian Nights (Vol 1),13883,121.43316538043621,0.008746896591546222,0.11454666897001965,-60076.77194022712,999.9999999999999,2.072628898203435
Canterbury Tales,17653,675.299627151741,0.03825409999160148,0.15620925194808027,-65459.65746407911,999.9758888469748,2.4393997759556085
Arabian Nights (Vol 1),13883,141.95141885424383,0.010224837488600723,0.10593905258598922,-62245.8067700157,98.17858521350477,3.3233273145343696
Complete Works of Shakespeare,24458,447.390678401542,0.018292202077093058,0.15655563957796073,-90616.13928496541,926.2524105625973,1.9090213800099425
Arabian Nights (Vol 1),13883,175.6076030244705,0.012649110640673523,0.13643462217542301,-55221.519988732245,58.52636914156095,6.534097746468717
Arabian Nights (Vol 1),13883,367.24451091626645,0.026452820781982744,0.16430942427202758,-50059.658377581945,999.965639680827,2.1057875345890285
Canterbury Tales,17653,73.83470008757499,0.004182558210365093,0.16766158907106266,-62961.71806726044,999.9999999999869,9.999999999999993
Arabian Nights (Vol 1),13883,253.95064143628292,0.018292202077093058,0.16509542328345594,-49927.152191760615,999.9979524404265,2.199948061150379
Aesop's Fables,4394,8.788,0.002,0.15967137068274054,-16047.302473527141,999.9999999999999,7.55286968997427
Aesop's Fables,4394,12.708551329813842,0.002892251099183851,0.153031635583683,-16420.556087292738,999.9999999999999,4.440072985897988
Aesop's Fables,4394,18.378160776344217,0.004182558210365093,0.14383998586949864,-16964.912894214445,999.9999999999999,3.259660347105905
Aesop's Fables,4394,26.57712785317955,0.00604850429066444,0.11250142343362537,-19124.43733100187,999.9999999999999,1.331766799551119
Aesop's Fables,4394,38.4338636232541,0.008746896591546222,0.11066311076571951,-19269.22249774136,538.807628536767,0.7643941568860392
Aesop's Fables,4394,43.76413699538858,0.009959976557894533,0.10883608459352408,-19415.52168383417,209.22820816480447,0.7344538124289383
Aesop's Fables,4394,55.58019215511945,0.012649110640673521,0.13241943012122054,-17691.91853097872,25.894124608292756,4.898978891699579
Aesop's Fables,4394,80.37593592674689,0.018292202077093058,0.14675231556242696,-16788.759498881504,999.9999997544538,1.0070426322212318
Arabian Nights (Vol 1),13883,531.0816701834034,0.03825409999160148,0.16332497052752837,-50226.51769007196,999.9237391547985,1.9900541248745616
Aesop's Fables,4394,116.23369451603217,0.026452820781982744,0.14627003686112666,-16817.687456213127,999.9965874229855,0.9515538419710993
Aesop's Fables,4394,168.08851536309692,0.03825409999160148,0.14579960425826144,-16845.996905105116,999.9962881242805,0.8567351527898528
Aesop's Fables,4394,243.07709665954917,0.05532023137449913,0.14565122876537914,-16854.94471925662,999.9923336045941,0.6860684287417603
Arabian Nights (Vol 1),13883,58.06645563449858,0.004182558210365093,0.16843080466755328,-49371.79384712786,999.9999999999999,8.014212286168478
Complete Sherlock Holmes,7817,15.634,0.002,0.1646793106115043,-28119.23335976154,999.9999999999997,9.99999999999238
Aesop's Fables,4394,351.52,0.08,0.14716706719194153,-16763.957869909314,999.9951530097522,0.7236180655737725
Complete Sherlock Holmes,7817,22.608726842320163,0.002892251099183851,0.16324252892672858,-28256.234229444533,999.9999999999998,9.99999999999927
Complete Sherlock Holmes,7817,68.37449065611682,0.008746896591546222,0.11644298595526655,-33537.95037507658,999.9999999999999,1.7055077887289989
Arabian Nights (Vol 1),13883,768.0107721721714,0.05532023137449913,0.16258700416280977,-50352.25967375417,999.9992292383158,7.943030993377295
Complete Sherlock Holmes,7817,86.06233107967869,0.011009636827386296,0.10809018993360356,-34701.679541987156,147.96508161475415,2.9015736599879216
Complete Sherlock Holmes,7817,47.28115804012393,0.00604850429066444,0.1509133445180822,-29483.99113179105,999.9999999999999,7.405509697296717
Complete Sherlock Holmes,7817,98.87809787814491,0.012649110640673521,0.12425668250206948,-32522.558283884482,53.393592822849016,4.421378226764953
Complete Sherlock Holmes,7817,142.99014363663645,0.018292202077093058,0.153787396563852,-29189.050842824818,999.9999299498487,1.699907249555554
Complete Sherlock Holmes,7817,32.69505753042393,0.004182558210365093,0.1599087510019669,-28578.820810247515,999.9999999999999,9.999999999999998
Complete Sherlock Holmes,7817,206.7817000527591,0.026452820781982744,0.1530900814252758,-29260.100981213338,999.9998275911554,1.5805836510478255
Jane Eyre,12541,25.082,0.002,0.1693928153259794,-44449.03578920626,999.9999999999999,9.999999999999998
Jane Eyre,12541,36.271721034864676,0.002892251099183851,0.1704602426425213,-44291.477695406924,999.9999999999999,9.999999999999998
Complete Sherlock Holmes,7817,432.4382486544597,0.05532023137449913,0.15109758971282558,-29464.91573149601,999.9618264918246,1.151763323282793
Jane Eyre,12541,52.45346251618863,0.004182558210365093,0.16811036494197804,-44639.6507358277,999.9999999999999,9.999999999999998
Complete Sherlock Holmes,7817,299.03229963434876,0.03825409999160148,0.15214679528324807,-29356.730082195318,999.9708118042614,1.415796055358217
Canterbury Tales,17653,976.5680444540332,0.05532023137449913,0.15499778639942202,-65734.53697158434,999.9757970821379,2.260068945371428
Jane Eyre,12541,148.30690398273813,0.01182576381331139,0.11481838068435594,-54202.64271173825,221.78906337019373,2.9775886630500796
Jane Eyre,12541,158.63249654468663,0.012649110640673521,0.11873047415343772,-53362.284857993596,99.71040152636101,3.9149221506292413
Jane Eyre,12541,229.40250624882404,0.018292202077093058,0.1515521678251265,-47240.42313405797,999.9997330148454,2.0236626987488346
Complete Works of Shakespeare,24458,1956.64,0.08,0.15068459793401764,-92485.83473123993,999.9518774109328,2.1826694574899568
Jane Eyre,12541,331.7448254268456,0.026452820781982744,0.15093214817744724,-47343.247338554545,999.9998470044103,2.057359334917777
Jane Eyre,12541,479.74466799467416,0.03825409999160148,0.15010115505398777,-47481.72386086336,999.9997434680819,1.9336713748609906
Jane Eyre,12541,693.7710216675936,0.05532023137449913,0.14902932682926892,-47661.46957194092,999.9993481947496,1.7794408141201592
Dubliners,7157,20.69984111685882,0.002892251099183851,0.15512259825144556,-26594.822048533042,999.9999999999999,4.059034003976413
Dubliners,7157,29.93456911158297,0.004182558210365093,0.14885738639502033,-27184.946062720806,999.9999999999999,3.6452410892266163
Dubliners,7157,43.2891452082854,0.00604850429066444,0.13478297934773267,-28606.652403890632,999.9999999999999,2.717656409146395
Dubliners,7157,62.601538905696316,0.008746896591546222,0.11452160936808548,-30938.43723219558,546.0208381255475,1.8338353725799268
Arabian Nights (Vol 1),13883,83.97138506729442,0.00604850429066444,0.15424787945065968,-51814.20492142715,999.9999999999999,6.345015440750917
Dubliners,7157,65.3788909258547,0.009134957513742449,0.11023190636504188,-31484.90491488392,522.3674150826341,0.4253363224064221
Arabian Nights (Vol 1),13883,1110.64,0.08,0.16399575474365036,-50112.714810021316,999.8804426961243,1.9918126705872228
Dubliners,7157,130.917290265755,0.018292202077093058,0.14917210812376405,-27154.7146354114,999.9999876262566,1.5803661225210477
Dubliners,7157,90.52968485530039,0.012649110640673521,0.13085354998680093,-29030.16309415666,30.549582182770003,7.134352766878469
