slug,corpus,token_count,vocabulary_size,cutoff,cutoff_rank,zipf_avg_nll,zm_avg_nll,moe_avg_nll,softk_avg_nll,winner_family,softk_minus_moe,softk_minus_zm,softk_minus_zipf,step2_winner_expression,step2_gain,step2_helps,canonical_source
jane_eyre,Jane Eyre,189604,12541,top100,100,4.7467861237984055,4.629351813279925,4.669424099716036,4.638581328098644,zm,-0.030842771617392017,0.009229514818718698,-0.10820479569976182,"div[sub[x,1],eml[1,x]]",-0.027504838600287337,False,results/zipf_angle1_head_windows_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,top200,200,5.078927608534253,4.9491250410047885,4.971967002858252,4.963259467278252,zm,-0.00870753557999926,0.014134426273463951,-0.115668141256001,"eml[sub[x,1],eml[x,1]]",-0.0215925146475429,False,results/zipf_angle1_head_windows_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,top500,500,5.488930569113539,5.362293926149837,5.365820417448948,5.372723593329331,zm,0.006903175880383472,0.010429667179494118,-0.11620697578420813,"sub[sqrt[x],pow[x,x]]",-0.01018614708620421,False,results/zipf_angle1_head_windows_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,top1000,1000,5.769945471792824,5.654465841232766,5.6493550421254906,5.655976858208183,moe,0.006621816082692078,0.001511016975416446,-0.11396861358464161,"eml[sub[x,1],eml[x,1]]",-0.010263797989145583,False,results/zipf_angle1_head_windows_splitfit/summary.json
jane_eyre,Jane Eyre,189604,12541,full,12541,6.685153958211458,6.639198902037371,6.649150527735459,6.642788574812209,zm,-0.006361952923249703,0.00358967277483746,-0.042365383399249446,"eml[sub[x,1],eml[x,1]]",-0.0016077082842209933,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,top50,50,4.346071015583651,4.278453551061081,4.319101864530301,4.290075291147845,zm,-0.029026573382456178,0.011621740086764198,-0.055995724435805805,"eml[sub[x,1],eml[x,1]]",-0.027186583367430975,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,top100,100,4.691001184081959,4.598745913958304,4.625485768788617,4.614098915499791,zm,-0.01138685328882616,0.01535300154148711,-0.07690226858216853,"eml[sub[x,1],eml[x,1]]",-0.025560351647256452,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,top200,200,5.035190815041345,4.9346211111423015,4.9452085405346144,4.94693985486776,zm,0.0017313143331456615,0.012318743725458603,-0.08825096017358458,"eml[sub[x,1],eml[x,1]]",-0.023338236913435152,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,top500,500,5.482996714484144,5.388535689064829,5.381825383310639,5.386909615513285,moe,0.005084232202645644,-0.0016260735515443159,-0.09608709897085888,"eml[sub[x,1],eml[x,1]]",-0.018238312775552296,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,top1000,1000,5.774889632930244,5.692450223577021,5.67987342893198,5.681788315993398,moe,0.001914887061417403,-0.010661907583623176,-0.09310131693684642,"eml[sub[x,1],eml[x,1]]",-0.013746719527685573,False,results/zipf_angle1_head_windows_splitfit/summary.json
dubliners,Dubliners,69264,7157,full,7157,6.541972737895993,6.5140093492139535,6.521278476962053,6.517051665375395,zm,-0.004226811586657497,0.0030423161614416827,-0.024921072520597498,"sub[pow[x,x],sqrt[x]]",0.0011538479227290455,True,results/zipf_angle1_head_windows_splitfit/summary.json
the_iliad,The Iliad,194969,12300,top50,50,4.167422725603836,4.164017150050151,4.20981568179175,4.241032020687202,zm,0.031216338895451834,0.07701487063705059,0.073609295083366,"eml[sub[x,1],eml[x,1]]",-0.03540629470362973,False,results/zipf_angle1_head_windows_splitfit/summary.json
the_iliad,The Iliad,194969,12300,top100,100,4.557814160124749,4.540503572504167,4.562007881982552,4.610615437205321,zm,0.04860755522276872,0.07011186470115405,0.05280127708057236,"eml[sub[x,1],eml[x,1]]",-0.02660328259020693,False,results/zipf_angle1_head_windows_splitfit/summary.json
the_iliad,The Iliad,194969,12300,top200,200,4.940331354002146,4.916191166818482,4.916699323713641,4.9636045533785405,zm,0.046905229664899295,0.047413386560058335,0.02327319937639416,"eml[sub[x,1],eml[x,1]]",-0.020413198136067172,False,results/zipf_angle1_head_windows_splitfit/summary.json
the_iliad,The Iliad,194969,12300,top500,500,5.494200959931881,5.468193332848624,5.4467695199950885,5.464059593346388,moe,0.017290073351299284,-0.004133739502235834,-0.030141366585493046,"eml[sub[x,1],eml[x,1]]",-0.016452935085412734,False,results/zipf_angle1_head_windows_splitfit/summary.json
