sorted_position,count,empirical_prob_mixture,fitted_prob_single_poisson,residual_log_q_minus_log_p,sr_x_sorted_rank,count_over_lambda,poisson_deviance_count_lambda
57,56,1.0444589730763437e-11,1.4009123584671066e-19,18.127056057201234,0.86247802205680202,4.4800000000000004,40.478890599906052
58,57,3.6647683265837146e-12,3.0721762247086463e-20,18.597059686446958,0.86597300833884061,4.5599999999999996,41.987389540998791
59,58,1.2637132160633191e-12,6.6210694498030306e-21,19.067063315692682,0.86940824833058694,4.6399999999999997,43.513433241813502
60,59,4.2837736137741461e-13,1.4027689512294918e-21,19.537066944938434,0.87278575045498663,4.7199999999999998,45.056719176250368
61,60,1.4279245379246374e-13,2.922435315061232e-22,20.007070574184187,0.87610742353446069,4.7999999999999998,46.616955074830713
62,61,4.6817197964742388e-14,5.9885969570927796e-23,20.477074203429911,0.87937508326972624,4.8799999999999999,48.193858411768403
63,62,1.5102321924110478e-14,1.2073784187687217e-23,20.947077832675635,0.88259045820024318,4.96,49.787155925683834
64,63,4.7943879124162397e-15,2.3955921007316574e-24,21.417081461921391,0.88575519519527302,5.04,51.396583171246462
65,64,1.4982462226300464e-15,4.6788908217414838e-25,21.887085091167116,0.88887086451922082,5.1200000000000001,53.021884099290645
66,65,4.6099883773232724e-16,8.9978669648876718e-26,22.35708872041284,0.89193896451026411,5.2000000000000002,54.662810663179812
67,66,1.3969661749464432e-16,1.7041414706226326e-26,22.827092349658592,0.89496092590716181,5.2800000000000002,56.319122449399231
68,67,4.1700482834221178e-17,3.1793684153406921e-27,23.297095978904316,0.89793811585552474,5.3600000000000003,57.990586330541618
69,68,1.2264847892417819e-17,5.8444272340821385e-28,23.767099608150041,0.90087184162162304,5.4400000000000004,59.676976139013888
70,69,3.5550283746138169e-18,1.0587730496525303e-28,24.237103237395793,0.90376335403898556,5.5199999999999996,61.378072359941271
71,70,1.0157223927468551e-18,1.8906661600938657e-29,24.707106866641546,0.90661385071053402,5.5999999999999996,63.09366184187725
72,71,2.8611898387234554e-19,3.3286376057990041e-30,25.17711049588727,0.90942447898676926,5.6799999999999997,64.823537524047254
73,72,7.9477495520097556e-20,5.7788847322901174e-31,25.647114125132994,0.91219633873854378,5.7599999999999998,66.5674981789616
74,73,2.1774656306874758e-20,9.8953505689894567e-32,26.117117754378718,0.91493048494119478,5.8399999999999999,68.325348169329885
75,74,5.8850422451018916e-21,1.6715119204375516e-32,26.587121383624471,0.91762793008522481,5.9199999999999999,70.09689721829767
76,75,1.5693445986937758e-21,2.7858532007291751e-33,27.057125012870195,0.92028964642732669,6,71.881960192104117
77,76,4.1298542070888011e-22,4.5819953959359724e-34,27.527128642115947,0.92291656809426281,6.0800000000000001,73.680356894333755
78,77,1.0726894044386374e-22,7.4383042141817735e-35,27.997132271361671,0.92550959305100333,6.1600000000000001,75.491911870997995
79,78,2.7504856524069195e-23,1.1920359317599474e-35,28.467135900607424,0.92806958494349323,6.2400000000000002,77.316454225744224
80,79,6.9632548162203116e-24,1.8861328034177308e-36,28.937139529853148,0.9305973748255113,6.3200000000000003,79.153817444542511
81,80,1.7408137040548733e-24,2.9470825053398918e-37,29.407143159098872,0.93309376277826528,6.4000000000000004,81.003839229250104
82,81,4.2983054421109282e-25,4.5479668292282883e-38,29.877146788344625,0.93555951943061444,6.4800000000000004,82.866361339498837
83,82,1.0483671810026321e-25,6.9328762640673706e-39,30.347150417590349,0.93799538738715194,6.5599999999999996,84.741229442391784
84,83,2.5261859783197227e-26,1.0441078710945483e-39,30.817154046836073,0.94040208257076785,6.6399999999999997,86.628292969532424
85,84,6.0147285198089262e-27,1.5537319510335876e-40,31.287157676081797,0.94278029548576314,6.7199999999999998,88.52740498094488
86,85,1.4152302399550831e-27,2.2848999279905335e-41,31.757161305327578,0.94513069240709247,6.7999999999999998,90.438422035475185
87,86,3.291233116174512e-28,3.3210754767304583e-42,32.227164934573274,0.94745391650086141,6.8799999999999999,92.361204067291681
88,87,7.5660531406311238e-29,4.7716601677159978e-43,32.697168563819048,0.94975058888078889,6.96,94.295614268130549
89,88,1.7195575319616543e-29,6.7779263745968037e-44,33.167172193064772,0.95202130960497933,7.04,96.241518974955682
90,89,3.8641742291274688e-30,9.5195595148836445e-45,33.637175822310496,0.95426665861700755,7.1200000000000001,98.198787562725727
91,90,8.5870538425050555e-31,1.3221610437337882e-45,34.10717945155622,0.95648719663500203,7.2000000000000002,100.16729234198087
92,91,1.8872645807702172e-31,1.8161552798540056e-46,34.577183080801944,0.95868346599214771,7.2800000000000002,102.1469084609821
93,92,4.1027490886308312e-32,2.4676022824102461e-47,35.047186710047697,0.96085599143174705,7.3600000000000003,104.13751381215221
94,93,8.8231163196365007e-33,3.3166697344225262e-48,35.517190339293421,0.96300528085976733,7.4400000000000004,106.13898894258506
95,94,1.877258791412049e-33,4.4104650723704951e-49,35.987193968539145,0.96513182605756498,7.5199999999999996,108.15121696840433
96,95,3.952123771394105e-34,5.8032435162771698e-50,36.457197597784926,0.96723610335729382,7.5999999999999996,110.1740834927671
97,96,8.2335911904037967e-35,7.5563066618187781e-51,36.92720122703065,0.96931857428231527,7.6799999999999997,112.20747652731978
98,97,1.6976476681244688e-35,9.7375085848179784e-52,37.397204856276375,0.97137968615476677,7.7599999999999998,114.25128641692734
99,98,3.4645870778051398e-36,1.2420291562268335e-52,37.867208485522099,0.9734198726722848,7.8399999999999999,116.30540576750698
100,99,6.9991658137475733e-37,1.5682186315995141e-53,38.337212114767823,0.97543955445574981,7.9199999999999999,118.36972937680713
101,100,1.3998331627495307e-37,1.9602732894994375e-54,38.807215744013547,0.97743913956977246,8,120.44415416798358
102,101,2.7719468569298626e-38,2.4260808038359823e-55,39.2772193732593,0.97941902401754544,8.0800000000000001,122.5285791258334
103,102,5.4351899155486956e-39,2.9731382399949961e-56,39.747223002505052,0.98137959221155113,8.1600000000000001,124.62290523555359
104,103,1.0553766826308479e-39,3.6081774757221348e-57,40.217226631750805,0.98332121742152812,8.2400000000000002,126.72703542390218
105,104,2.0295705435209072e-40,4.3367517737047594e-58,40.6872302609965,0.98524426220100614,8.3200000000000003,128.8408745026442
106,105,3.8658486543254159e-41,5.1627997306006546e-59,41.157233890242253,0.98714907879362257,8.4000000000000004,130.96432911417313
107,106,7.2940540647650054e-42,6.0882072294818571e-60,41.627237519488006,0.98903600952036308,8.4800000000000004,133.09730767920405
108,107,1.363374591544806e-42,7.1123916232264679e-61,42.097241148733701,0.99090538714879006,8.5600000000000005,135.23972034644061
109,108,2.5247677621199999e-43,8.2319347491045331e-62,42.567244777979454,0.99275753524525445,8.6400000000000006,137.39147894412415
110,109,4.6326013983850482e-44,9.4402921434683183e-63,43.03724840722515,0.99459276851102729,8.7200000000000006,139.55249693337683
111,110,8.4229116334281372e-45,1.0727604708486925e-63,43.507252036470959,0.99641139310321547,8.8000000000000007,141.7226893632577
112,111,1.5176417357528506e-45,1.2080635932981515e-64,43.977255665716655,0.99821370694129241,8.8800000000000008,143.90197282745274
113,112,2.7100745281297943e-46,1.3482852603772309e-65,44.447259294962407,1,8.9600000000000009,146.09026542252596
