slug,name,lambda_mech,test_avg_nll,train_step2_gain,heldout_step2_gain,heldout_step2_help,k,w,alpha_tail,beta_tail
emile,Emile,0.1,6.487074247430257,-9.860921254545296e-07,0.4030767163675554,1,93.29827146155164,3.2077955697433524,1.5180869820969638,11.405950045023921
emile,Emile,1.0,6.501815682039663,0.12256832983582253,0.5568960781530019,1,4999.999494845022,2.079717611568145,5.999564299241144,5.724816740947514
emile,Emile,10.0,6.486664102557857,0.0007771515549549746,0.4063679577274478,1,3879.401601456524,1.8065643603034582,3.9838926844805864,3.9140305962662376
emile,Emile,100.0,6.486614436645336,0.0001315656891371919,0.40468347811124583,1,3871.244396775077,1.8043078266079728,3.9901331853777435,3.449445167253644
ulysses,Ulysses,0.01,7.351417017450564,-0.0003010312715741592,0.6726510432104359,1,215.9203040304714,3.0876263692524275,1.0760887129894912,1.2246035053171689
ulysses,Ulysses,0.1,7.35154354946195,-0.0003204058988343639,0.6746397249639067,1,215.30537413069638,3.1343724316649766,1.079725639905234,1.2316906480512824
ulysses,Ulysses,1.0,7.38426704446705,0.29963569263691364,0.9879559660053281,1,4999.999378812811,2.7608374431350193,2.9714414786392034,1.2318141812332377
ulysses,Ulysses,10.0,7.355358180439568,0.0020873625049239175,0.7215413372524028,1,4443.298825584915,3.0223726156868045,1.6833789845517542,1.5998944319325457
ulysses,Ulysses,100.0,7.401479849094251,0.008652339100448547,0.62507252773635,1,2222.0453912276653,3.098987385318046,1.6276715980551406,21.260198994780364
collected_poe,Collected Poe,0.01,6.666460738573231,0.0020925375023407577,0.5355175720880488,1,117.28713642433675,2.2650600315389213,1.3068177237343115,5.438272328318421
collected_poe,Collected Poe,0.1,6.666452850222116,0.0020778353719054232,0.5353510138054566,1,117.28512303781245,2.26387982779429,1.306525025263168,5.43038780618896
collected_poe,Collected Poe,1.0,6.691595366654466,0.23298068756458798,0.8325206334428943,1,4044.768349145362,2.173000548426246,5.999360722624693,0.001596080137793443
collected_poe,Collected Poe,10.0,6.666806220141216,-0.0004649731386911493,0.5151188588645442,1,114.29514760995568,2.139495402317627,1.0014011676303292,0.0035429881016873378
collected_poe,Collected Poe,100.0,6.689425090697417,0.00487806644542596,0.5932033085789867,1,284.6796224226263,1.711149928438005,5.999487795091932,0.001596080137793927
principia_ethica,Principia Ethica,0.01,5.90892846439118,-0.0014878826952830493,0.33935505154651324,1,72.84535350105345,0.6959858798145394,1.8752536006220828,99.9994594222081
principia_ethica,Principia Ethica,0.1,5.90893096503513,-0.0014756659491854673,0.33943086234067477,1,73.02846674316545,0.6954307851771,1.8752696852976116,99.99948979062896
principia_ethica,Principia Ethica,1.0,5.908936240116713,-0.001464915745243045,0.33976992678284634,1,73.05777226580005,0.695129382216395,1.8754390538814618,99.99949106140485
principia_ethica,Principia Ethica,10.0,5.9089302342787375,-0.0014796447455420747,0.33935212626692124,1,73.04828580909978,0.6956063879017356,1.8752397697819914,99.99947107902119
principia_ethica,Principia Ethica,100.0,5.908934944556472,-0.001467357254108903,0.3396767346671774,1,73.02714467318992,0.6953124430012577,1.875380775452186,99.99956548071351
critique_of_pure_reason,Critique of Pure Reason,0.01,5.95236178854506,-0.0005259055085557185,0.38366850939518615,1,98.78788577650396,0.49309242730476016,1.6656261670719328,18.056581346232978
critique_of_pure_reason,Critique of Pure Reason,0.1,5.952102260038946,0.00033760964533563476,0.3745690580407306,1,98.83496942625017,0.5812502590709494,1.662334361303159,18.226221972225638
critique_of_pure_reason,Critique of Pure Reason,1.0,5.952073344427013,0.0009112558442261887,0.3727523627491336,1,98.6398448676193,0.5929034380335404,1.6623630008175383,18.446562988042402
critique_of_pure_reason,Critique of Pure Reason,10.0,5.959630365569128,-0.00020953866007156208,0.4007029760519877,1,2137.558178320856,0.6236713906875461,5.999589861341042,0.0015960801377943312
critique_of_pure_reason,Critique of Pure Reason,100.0,5.957635466886555,0.0003484104533270638,0.39143910540849125,1,2003.847078461199,0.6331071355127089,2.709001579801045,99.99997990970965
