k,empirical_prob,fitted_prob,log_density_residual,pointwise_kl_contribution_q_log_q_over_p,count_over_lambda,poisson_deviance_D_k_lambda,normalized_poisson_deviance,sr_x,kl_generator_on_sr_x
79,6.9632548162203116e-24,1.8861328034177308e-36,28.937139529853148,2.0149667619888911e-22,6.3200000000000003,79.153817444542511,6.3323053955634006,0.9305973748255113,0.0024660955759987502
80,1.7408137040548733e-24,2.9470825053398918e-37,29.407143159098872,5.1192357808462836e-23,6.4000000000000004,81.003839229250104,6.4803071383400086,0.93309376277826528,0.0022898793554738672
81,4.2983054421109282e-25,4.5479668292282883e-38,29.877146788344625,1.2842110263508874e-23,6.4800000000000004,82.866361339498837,6.6293089071599072,0.93555951943061444,0.0021223818147098061
82,1.0483671810026321e-25,6.9328762640673706e-39,30.347150417590349,3.1814956534752043e-24,6.5599999999999996,84.741229442391784,6.7792983553913428,0.93799538738715194,0.0019632957257428307
83,2.5261859783197227e-26,1.0441078710945483e-39,30.817154046836073,7.7849862444836185e-25,6.6399999999999997,86.628292969532424,6.9302634375625942,0.94040208257076785,0.001812327466235053
84,6.0147285198089262e-27,1.5537319510335876e-40,31.287157676081797,1.8818375957808796e-25,6.7199999999999998,88.52740498094488,7.0821923984755903,0.94278029548576314,0.0016691962765053026
85,1.4152302399550831e-27,2.2848999279905335e-41,31.757161305327578,4.4943695014431026e-26,6.7999999999999998,90.438422035475185,7.2350737628380148,0.94513069240709247,0.0015336335649490662
86,3.291233116174512e-28,3.3210754767304583e-42,32.227164934573274,1.0606711247308555e-26,6.8799999999999999,92.361204067291681,7.3888963253833344,0.94745391650086141,0.0014053822581876485
87,7.5660531406311238e-29,4.7716601677159978e-43,32.697168563819048,2.4738851490202836e-27,6.96,94.295614268130549,7.5436491414504436,0.94975058888078889,0.0012841961926044476
88,1.7195575319616543e-29,6.7779263745968037e-44,33.167172193064772,5.7032860758453667e-28,7.04,96.241518974955682,7.6993215179964549,0.95202130960497933,0.0011698395442084619
89,3.8641742291274688e-30,9.5195595148836445e-45,33.637175822310496,1.2997990795320178e-28,7.1200000000000001,98.198787562725727,7.8559030050180585,0.95426665861700755,0.0010620862940214915
90,8.5870538425050555e-31,1.3221610437337882e-45,34.10717945155622,2.9288018636649534e-29,7.2000000000000002,100.16729234198087,8.0133833873584699,0.95648719663500203,0.00096071972642097769
91,1.8872645807702172e-31,1.8161552798540056e-46,34.577183080801944,6.5256292931204723e-30,7.2800000000000002,102.1469084609821,8.1717526768785689,0.95868346599214771,0.00086553195807981265
92,4.1027490886308312e-32,2.4676022824102461e-47,35.047186710047697,1.4378981333372278e-30,7.3600000000000003,104.13751381215221,8.3310011049721773,0.96085599143174705,0.00077632349533629519
93,8.8231163196365007e-33,3.3166697344225262e-48,35.517190339293421,3.1337230171025566e-31,7.4400000000000004,106.13898894258506,8.4911191154068053,0.96300528085976733,0.00069290281800282738
94,1.877258791412049e-33,4.4104650723704951e-49,35.987193968539145,6.7557276255690771e-32,7.5199999999999996,108.15121696840433,8.6520973574723463,0.96513182605756498,0.00061508598778015067
95,3.952123771394105e-34,5.8032435162771698e-50,36.457197597784926,1.4408335726461785e-32,7.5999999999999996,110.1740834927671,8.8139266794213675,0.96723610335729382,0.00054269627958802857
96,8.2335911904037967e-35,7.5563066618187781e-51,36.92720122703065,3.0404347870914785e-33,7.6799999999999997,112.20747652731978,8.9765981221855835,0.96931857428231527,0.00047556383425628734
97,1.6976476681244688e-35,9.7375085848179784e-52,37.397204856276375,6.3487277618630645e-34,7.7599999999999998,114.25128641692734,9.1401029133541876,0.97137968615476677,0.00041352533113836465
98,3.4645870778051398e-36,1.2420291562268335e-52,37.867208485522099,1.31194241191493e-34,7.8399999999999999,116.30540576750698,9.3044324614005589,0.9734198726722848,0.00035642367932176011
99,6.9991658137475733e-37,1.5682186315995141e-53,38.337212114767823,2.6832850442807223e-35,7.9199999999999999,118.36972937680713,9.4695783501445696,0.97543955445574981,0.00030410772620892423
100,1.3998331627495307e-37,1.9602732894994375e-54,38.807215744013547,5.432362755244587e-36,8,120.44415416798358,9.635532333438686,0.97743913956977246,0.00025643198233393782
101,2.7719468569298626e-38,2.4260808038359823e-55,39.2772193732593,1.0887436479065083e-36,8.0800000000000001,122.5285791258334,9.8022863300666714,0.97941902401754544,0.00021325636136515502
102,5.4351899155486956e-39,2.9731382399949961e-56,39.747223002505052,2.1603370563428059e-37,8.1600000000000001,124.62290523555359,9.9698324188442875,0.98137959221155113,0.00017444593432081046
103,1.0553766826308479e-39,3.6081774757221348e-57,40.217226631750805,4.2444323227230151e-38,8.2400000000000002,126.72703542390218,10.138162833912174,0.98332121742152812,0.00013987069709697764
104,2.0295705435209072e-40,4.3367517737047594e-58,40.6872302609965,8.2577604035170969e-39,8.3200000000000003,128.8408745026442,10.307269960211535,0.98524426220100614,0.00010940535046866096
105,3.8658486543254159e-41,5.1627997306006546e-59,41.157233890242253,1.591076372503494e-39,8.4000000000000004,130.96432911417313,10.47714632913385,0.98714907879362257,8.2929091789307741e-05
106,7.2940540647650054e-42,6.0882072294818571e-60,41.627237519488006,3.0363132103395984e-40,8.4800000000000004,133.09730767920405,10.647784614336324,0.98903600952036308,6.0325417665429981e-05
107,1.363374591544806e-42,7.1123916232264679e-61,42.097241148733701,5.7394308956318011e-41,8.5600000000000005,135.23972034644061,10.819177627715248,0.99090538714879006,4.1481936936427211e-05
108,2.5247677621199999e-43,8.2319347491045331e-62,42.567244777979454,1.0747240733771344e-41,8.6400000000000006,137.39147894412415,10.991318315529931,0.99275753524525445,2.6290193333000644e-05
109,4.6326013983850482e-44,9.4402921434683183e-63,43.03724840722515,1.993744171539559e-42,8.7200000000000006,139.55249693337683,11.164199754670147,0.99459276851102729,1.4645497235177274e-05
110,8.4229116334281372e-45,1.0727604708486925e-63,43.507252036470959,3.6645773931648128e-43,8.8000000000000007,141.7226893632577,11.337815149060615,0.99641139310321547,6.4467659861566773e-06
111,1.5176417357528506e-45,1.2080635932981515e-64,43.977255665716655,6.6741718622165104e-44,8.8800000000000008,143.90197282745274,11.512157826196219,0.99821370694129241,1.5963722586054274e-06
112,2.7100745281297943e-46,1.3482852603772309e-65,44.447259294962407,1.2045538526045786e-44,8.9600000000000009,146.09026542252596,11.687221233802077,1,0
