transition_fraction,sigmoid_width,tail_slope_b2,tail_head_slope_contrast,transition_k,single_zm_c,theta_deg,angle_r2,winner_full,winner_top100,flip_lambda,source_model
0.55,1.4,2.0,0.9999999999798099,160.59608171734524,91.42150815613114,-22.228033149498987,0.9901423871715608,is,is,1.05,legacy_coupled_logistic
0.55,1.4,2.2,0.7999999999798098,160.59608171734524,157.58510486742094,-23.48488059216602,0.9920728253638342,is,is,1.05,legacy_coupled_logistic
0.55,1.4,2.4,0.59999999997981,160.59608171734524,226.54771567692268,-24.21714764179313,0.99312289499725,is,is,1.05,legacy_coupled_logistic
0.55,1.4,2.6,0.39999999997980984,160.59608171734524,297.4356899664534,-24.682460678289022,0.9937224842969176,is,is,1.05,legacy_coupled_logistic
0.55,1.7,1.6,1.3999999999798098,160.59608171734524,11.339460110930524,-29.834343382775334,0.9746135845886722,exp,xpow,0.9500000000000001,legacy_coupled_logistic
0.55,1.7,1.8,1.1999999999798099,160.59608171734524,36.89241415905801,-16.9087124213775,0.9892552217598638,exp,xpow,0.9500000000000001,legacy_coupled_logistic
0.55,1.7,2.0,0.9999999999798099,160.59608171734524,76.24758982464614,-18.52807698037504,0.989057642789287,exp,is,1.0,legacy_coupled_logistic
0.55,1.7,2.2,0.7999999999798098,160.59608171734524,131.4295145720493,-20.867384596037425,0.9916994004962159,is,is,1.05,legacy_coupled_logistic
0.55,1.7,2.4,0.59999999997981,160.59608171734524,188.9458799032742,-22.10789295248224,0.9931932586075307,is,is,1.05,legacy_coupled_logistic
0.55,1.7,2.6,0.39999999997980984,160.59608171734524,248.06804159303098,-22.864766958487756,0.9940609605980706,is,is,1.05,legacy_coupled_logistic
0.6,0.2,1.6,1.3999999999798098,254.8333735870426,0.0,-40.249839095470605,0.8239395672561041,xpow,is,0.0,legacy_coupled_logistic
0.6,0.2,1.8,1.1999999999798099,254.8333735870426,0.0,-41.37295876543431,0.7968804896869093,xpow,is,0.0,legacy_coupled_logistic
0.6,0.2,2.0,0.9999999999798099,254.8333735870426,0.0,-42.58851017011825,0.7691638635531894,xpow,is,0.0,legacy_coupled_logistic
0.6,0.2,2.2,0.7999999999798098,254.8333735870426,0.0,-43.90715161770601,0.7448303018286258,xpow,is,0.0,legacy_coupled_logistic
0.6,0.2,2.4,0.59999999997981,254.8333735870426,0.0,-45.340986729550266,0.7295300758507461,xpow,is,0.0,legacy_coupled_logistic
0.6,0.2,2.6,0.39999999997980984,254.8333735870426,0.0,-46.90374536255719,0.7283645206145899,xpow,is,0.0,legacy_coupled_logistic
0.6,0.5,1.6,1.3999999999798098,254.8333735870426,2.214073463611515,-42.6489093737108,0.7254808679666486,exp,exp,1.05,legacy_coupled_logistic
0.6,0.5,1.8,1.1999999999798099,254.8333735870426,7.2033866162110565,-40.79981023760267,0.729028589465416,exp,exp,1.05,legacy_coupled_logistic
0.6,0.5,2.0,0.9999999999798099,254.8333735870426,17.850403214234102,-37.21070863469593,0.8429598119057005,exp,exp,1.05,legacy_coupled_logistic
0.6,0.5,2.2,0.7999999999798098,254.8333735870426,40.39691551393904,-33.54825659212755,0.9390177705666536,exp,is,1.05,legacy_coupled_logistic
0.6,0.5,2.4,0.59999999997981,254.8333735870426,76.24758982464614,-31.89773517459903,0.9656913246582568,exp,is,1.05,legacy_coupled_logistic
0.6,0.5,2.6,0.39999999997980984,254.8333735870426,109.61516518440747,-31.4271552776062,0.971514908860952,is,is,1.05,legacy_coupled_logistic
0.6,0.8,1.6,1.3999999999798098,254.8333735870426,1.8465869651458242,-42.51076170444169,0.7924115885166593,exp,exp,1.05,legacy_coupled_logistic
0.6,0.8,1.8,1.1999999999798099,254.8333735870426,7.2033866162110565,-39.822593007743386,0.8157892715285489,exp,exp,1.05,legacy_coupled_logistic
0.6,0.8,2.0,0.9999999999798099,254.8333735870426,23.43588846323532,-33.61421762944494,0.9510921941024585,exp,exp,1.05,legacy_coupled_logistic
0.6,0.8,2.2,0.7999999999798098,254.8333735870426,63.5922013465231,-30.13246039700505,0.9834968940567271,exp,is,1.05,legacy_coupled_logistic
0.6,0.8,2.4,0.59999999997981,254.8333735870426,120.02777990915968,-29.625833088994504,0.9861637088209931,is,is,1.05,legacy_coupled_logistic
0.6,0.8,2.6,0.39999999997980984,254.8333735870426,188.9458799032742,-29.65393014685252,0.9862501469149441,is,is,1.05,legacy_coupled_logistic
0.6,1.1,1.6,1.3999999999798098,254.8333735870426,1.4064891096282042,-43.412079267313075,0.8160483270694372,exp,exp,1.05,legacy_coupled_logistic
0.6,1.1,1.8,1.1999999999798099,254.8333735870426,6.0077861231867224,-40.57233843573209,0.8206571716366406,exp,exp,1.05,legacy_coupled_logistic
0.6,1.1,2.0,0.9999999999798099,254.8333735870426,17.850403214234102,-33.20107374725297,0.9600296705658162,exp,exp,1.05,legacy_coupled_logistic
0.6,1.1,2.2,0.7999999999798098,254.8333735870426,48.43624499651203,-27.77352589848934,0.9906491379092669,exp,is,1.05,legacy_coupled_logistic
0.6,1.1,2.4,0.59999999997981,254.8333735870426,91.42150815613114,-27.147853146067494,0.9917283390508179,is,is,1.05,legacy_coupled_logistic
0.6,1.1,2.6,0.39999999997980984,254.8333735870426,157.58510486742094,-27.50505548830598,0.9919217236564711,is,is,1.05,legacy_coupled_logistic
0.6,1.4,1.6,1.3999999999798098,254.8333735870426,2.0219988125071415,-44.466210274056934,0.7917668533576225,exp,exp,1.05,legacy_coupled_logistic
0.6,1.4,1.8,1.1999999999798099,254.8333735870426,7.2033866162110565,-40.255260945817426,0.8214930619937046,exp,exp,1.05,legacy_coupled_logistic
0.6,1.4,2.0,0.9999999999798099,254.8333735870426,21.40278514761437,-28.78808619663381,0.9863537442758216,exp,xpow,1.0,legacy_coupled_logistic
0.6,1.4,2.2,0.7999999999798098,254.8333735870426,48.43624499651203,-24.200583944304338,0.9932299071288616,exp,is,1.05,legacy_coupled_logistic
0.6,1.4,2.4,0.59999999997981,254.8333735870426,91.42150815613114,-24.41514116572684,0.9932136095911264,is,is,1.05,legacy_coupled_logistic
0.6,1.4,2.6,0.39999999997980984,254.8333735870426,143.91432811402282,-25.174782240502072,0.9937053571219933,is,is,1.05,legacy_coupled_logistic
0.6,1.7,1.6,1.3999999999798098,254.8333735870426,3.816443263564728,-45.02126297306943,0.7256636294863785,exp,exp,1.05,legacy_coupled_logistic
0.6,1.7,1.8,1.1999999999798099,254.8333735870426,11.339460110930524,-35.33868409480061,0.9081897347726668,exp,xpow,1.0,legacy_coupled_logistic
0.6,1.7,2.0,0.9999999999798099,254.8333735870426,28.09982942694006,-22.00368252665553,0.995321058980053,exp,xpow,0.9500000000000001,legacy_coupled_logistic
0.6,1.7,2.2,0.7999999999798098,254.8333735870426,58.07546936479891,-20.499375354376692,0.9930772841595775,exp,is,1.0,legacy_coupled_logistic
0.6,1.7,2.4,0.59999999997981,254.8333735870426,100.10586255530707,-22.047543479032157,0.9935842890441892,is,is,1.05,legacy_coupled_logistic
0.6,1.7,2.6,0.39999999997980984,254.8333735870426,143.91432811402282,-23.088266089676928,0.9942279787332536,is,is,1.05,legacy_coupled_logistic
0.65,0.2,1.6,1.3999999999798098,404.36882145138543,0.0,-47.752505473474926,0.7468286300446609,xpow,is,0.0,legacy_coupled_logistic
0.65,0.2,1.8,1.1999999999798099,404.36882145138543,0.07708683137978387,-50.38547237872012,0.7720532728071563,xpow,is,0.0,legacy_coupled_logistic
0.65,0.2,2.0,0.9999999999798099,404.36882145138543,0.6805300844517451,-53.08112225734938,0.7680640343814076,xpow,exp,0.0,legacy_coupled_logistic
0.65,0.2,2.2,0.7999999999798098,404.36882145138543,1.5400949769229377,-56.6254070496604,0.7760225038112918,xpow,exp,0.0,legacy_coupled_logistic
