family,case_id,step,rank,expression,math,rmse,f_at_1,fprime_at_1,fsecond_min,fsecond_positive_on_domain,bregman_conditions_pass,shape_cosine_vs_predicted
Poisson,t2b_poisson_kl,2,14,"eml[eml[x,1],mul[x,x]]","EML(EML(x,1),(x*x))",7.7007229507355079,15.154262241479262,39.193547524831956,28.921242919021097,True,False,0.5802345613341503
Poisson,t2b_poisson_kl,2,15,"pow[eml[x,1],eml[1,x]]","pow(EML(x,1),EML(1,x))",7.8996135500695592,15.154262241479259,26.039293265668675,2.9987016294217028,True,False,0.28923034803329095
Poisson,t2b_poisson_kl,2,16,"pow[eml[1,x],eml[x,1]]","pow(EML(1,x),EML(x,1))",8.3145453335358681,15.154262241479259,26.039291157241678,17.275988638095441,True,False,0.5083628766896845
Poisson,t2b_poisson_kl,2,17,"eml[add[x,x],sqrt[x]]","EML((x+x),sqrt(x))",9.4982874944645346,7.3890560989306504,14.278111498504586,12.012141214288022,True,False,0.45569428878560048
Poisson,t2b_poisson_kl,2,18,"eml[add[x,x],div[x,1]]","EML((x+x),(x/1))",9.4984329355699195,7.3890560989306504,13.778111510546296,14.762415448852153,True,False,0.54903104770183808
Poisson,t2b_poisson_kl,2,19,"eml[add[x,x],1]","EML((x+x),1)",9.5066899325884098,7.3890560989306504,14.7781114864556,4.4219439615899319,True,False,0.34135358211182959
Poisson,t2b_poisson_kl,2,20,"eml[add[x,x],pow[x,x]]","EML((x+x),pow(x,x))",9.5203580131705543,7.3890560989306504,13.778111474421166,-15.521165422291233,False,False,0.37748839372160387
Poisson,t2b_poisson_kl,3,1,"div[pow[eml[x,1],eml[x,1]],pow[add[x,x],neg[x]]]","(pow(EML(x,1),EML(x,1))/pow((x+x),(-x)))",4.9875238140200722,30.308524482958518,216.09080850199098,10.33245259027035,True,False,0.12435109319796198
Poisson,t2b_poisson_kl,3,2,"div[pow[eml[x,1],eml[x,1]],eml[neg[x],mul[x,x]]]","(pow(EML(x,1),EML(x,1))/EML((-x),(x*x)))",5.0378119601990177,41.193555674716109,489.09453111083712,-4.4250245122120759,False,False,0.049676453138586006
Poisson,t2b_poisson_kl,3,3,"div[eml[add[x,x],div[1,x]],eml[neg[x],mul[x,x]]]","(EML((x+x),(1/x))/EML((-x),(x*x)))",5.0432072373388221,20.085536923187668,172.17072620234103,-6.7173780776583953,False,False,0.042287094252859987
Poisson,t2b_poisson_kl,3,4,"div[eml[add[x,x],sqrt[x]],eml[neg[x],mul[x,x]]]","(EML((x+x),sqrt(x))/EML((-x),(x*x)))",5.077607736794155,20.085536923187668,168.09331382825621,-0.93129128511873205,False,False,0.11346046895677479
Poisson,t2b_poisson_kl,3,5,"div[pow[eml[x,x],add[x,x]],eml[neg[x],mul[x,x]]]","(pow(EML(x,x),(x+x))/EML((-x),(x*x)))",5.0809243052894599,20.085536923187664,194.84527385327965,-3.9270456587132685,False,False,0.088332076876723939
Poisson,t2b_poisson_kl,3,6,"div[eml[add[x,x],div[x,1]],eml[neg[x],mul[x,x]]]","(EML((x+x),(x/1))/EML((-x),(x*x)))",5.0946691812435771,20.085536923187668,166.73417637028615,0.99740432136604795,True,False,0.13601801171632036
Poisson,t2b_poisson_kl,3,7,"div[eml[add[x,x],pow[x,x]],eml[neg[x],mul[x,x]]]","(EML((x+x),pow(x,x))/EML((-x),(x*x)))",5.0959805508255975,20.085536923187668,166.73417753193644,-3.336610196224683,False,False,0.10087728748170337
Poisson,t2b_poisson_kl,3,8,"div[pow[eml[x,x],add[1,x]],eml[neg[x],mul[x,x]]]","(pow(EML(x,x),(1+x))/EML((-x),(x*x)))",5.1061839082207738,20.085536923187664,174.75983535221894,-2.0020115577140132,False,False,0.14752019456111898
Poisson,t2b_poisson_kl,3,9,"div[eml[add[x,x],mul[x,x]],eml[neg[x],mul[x,x]]]","(EML((x+x),(x*x))/EML((-x),(x*x)))",5.1370236132195108,20.085536923187668,164.01590145425871,4.7409969400414411,True,False,0.17923776433369928
Poisson,t2b_poisson_kl,3,10,"div[pow[eml[1,x],add[x,x]],eml[neg[x],mul[x,x]]]","(pow(EML(1,x),(x+x))/EML((-x),(x*x)))",5.1716472498158215,20.085536923187664,154.67439782596193,-1.1961982414545673,False,False,0.10305915477006258
Poisson,t2b_poisson_kl,3,11,"div[pow[eml[x,x],add[x,x]],eml[neg[x],pow[x,x]]]","(pow(EML(x,x),(x+x))/EML((-x),pow(x,x)))",5.2273741102914917,20.085536923187664,140.24750968028093,5.0018222634016638,True,False,0.19253835255431162
Poisson,t2b_poisson_kl,3,12,"div[eml[add[1,x],div[1,x]],eml[neg[x],mul[x,x]]]","(EML((1+x),(1/x))/EML((-x),(x*x)))",5.2407831504920601,20.085536923187668,152.0852601719962,-17.338471238042985,False,False,0.10246871202413046
Poisson,t2b_poisson_kl,3,13,"div[mul[eml[x,x],eml[x,x]],eml[neg[x],mul[x,x]]]","((EML(x,x)*EML(x,x))/EML((-x),(x*x)))",5.2724484451181874,20.085536923187664,154.67438245160156,15.371101898950656,True,False,0.26412481036162877
Poisson,t2b_poisson_kl,3,14,"div[eml[add[1,x],sqrt[x]],eml[neg[x],mul[x,x]]]","(EML((1+x),sqrt(x))/EML((-x),(x*x)))",5.3327041600826135,20.085536923187668,148.00784779794049,-11.552384445652933,False,False,0.16454322725251189
Poisson,t2b_poisson_kl,3,15,"div[eml[add[1,x],pow[x,x]],eml[neg[x],mul[x,x]]]","(EML((1+x),pow(x,x))/EML((-x),(x*x)))",5.3585745322344298,20.085536923187668,146.6487115015334,-13.957703355865306,False,False,0.1529539417479133
Poisson,t2b_poisson_kl,3,16,"div[eml[add[1,x],div[x,1]],eml[neg[x],mul[x,x]]]","(EML((1+x),(x/1))/EML((-x),(x*x)))",5.3683525321413912,20.085536923187668,146.64871033991221,-9.6236888505354727,False,False,0.18408089673400554
Poisson,t2b_poisson_kl,3,17,"div[eml[add[1,x],mul[x,x]],eml[neg[x],mul[x,x]]]","(EML((1+x),(x*x))/EML((-x),(x*x)))",5.4468715306551072,20.085536923187668,143.93043542388477,-5.7662976435458404,False,False,0.22138925273398202
Poisson,t2b_poisson_kl,3,18,"div[eml[add[x,x],div[1,x]],eml[neg[x],pow[x,x]]]","(EML((x+x),(1/x))/EML((-x),pow(x,x)))",5.5094251971307751,20.085536923187668,117.57290159910917,-427.86946909445396,False,False,0.043069014260203278
Poisson,t2b_poisson_kl,3,19,"div[eml[add[x,x],sqrt[x]],eml[neg[x],pow[x,x]]]","(EML((x+x),sqrt(x))/EML((-x),pow(x,x)))",5.622421767653119,20.085536923187668,113.49548272325774,19.579485075623779,True,False,0.25437089102092242
Poisson,t2b_poisson_kl,3,20,"div[pow[eml[x,x],add[1,x]],eml[neg[x],pow[x,x]]]","(pow(EML(x,x),(1+x))/EML((-x),pow(x,x)))",5.6255981263006998,20.085536923187664,120.16202387827798,20.442261225769471,True,False,0.34462502785431554
Gamma,t2c_gamma_is,1,1,"sub[x,1]",(x-1),0.3141136560074213,0,1,-3.5902303352486342e-09,True,False,-0.87741357180435808
Gamma,t2c_gamma_is,1,2,log[x],log(x),0.34797168771166115,0,0.9999999759134055,-397.72679873318702,False,False,-0.97103831197308399
Gamma,t2c_gamma_is,1,3,"sub[1,x]",(1-x),0.36998371898210253,0,-1,-2.3928805603645742e-09,True,False,0.87741357180435808
Gamma,t2c_gamma_is,1,4,"mul[x,x]",(x*x),0.80450634383630815,1,1.9999999999990905,1.9999999908832251,True,False,0.10792527935817788
Gamma,t2c_gamma_is,1,5,"div[x,1]",(x/1),0.88802076266706476,1,0.99999999999909051,-7.1795511757954955e-09,True,False,0.24220418383733805
Gamma,t2c_gamma_is,1,6,"pow[x,x]","pow(x,x)",0.92542534916217611,1,0.9999999638994268,1.4016428987142717,True,False,0.60254345160881784
Gamma,t2c_gamma_is,1,7,neg[x],(-x),0.92575163516887127,-1,-0.99999999999909051,-2.3928805603645742e-09,True,False,-0.24220418383733805
Gamma,t2c_gamma_is,1,8,sqrt[x],sqrt(x),0.94759607172227811,1,0.49999999548435881,-22.265322082997045,False,False,0.38955976638313172
Gamma,t2c_gamma_is,1,9,"div[1,x]",(1/x),1.5975608477531027,1,-0.9999999277306415,2.0008553455445508,True,False,0.9774889813849319
Gamma,t2c_gamma_is,1,10,"add[x,x]",(x+x),1.7314678224382405,2,1.999999999998181,-1.4359102351590991e-08,True,False,0.24220418383733805
Gamma,t2c_gamma_is,1,11,"add[1,x]",(1+x),1.8650722133379292,2,0.99999999999818101,-1.4358192856889218e-08,True,False,0.49578399072967733
Gamma,t2c_gamma_is,1,12,"eml[x,1]","EML(x,1)",2.3890127264161882,2.7182818284590451,2.7182817957400403,1.0514209494676834,True,False,0.43837756176684362
Gamma,t2c_gamma_is,1,13,"eml[x,x]","EML(x,x)",2.5632339835161067,2.7182818284590451,1.7182818198270979,3.6906034649864523,True,False,0.71244318365499881
Gamma,t2c_gamma_is,1,14,"eml[1,x]","EML(1,x)",2.9234898877158941,2.7182818284590451,-0.9999999759165803,1.0002850835517165,True,False,0.76229136583136692
Gamma,t2c_gamma_is,2,1,"add[log[x],sub[1,x]]",(log(x)+(1-x)),0.25122831142591467,0,-2.4086594518527927e-08,-397.72679878825147,False,False,-1
Gamma,t2c_gamma_is,2,2,"mul[sub[x,1],sub[1,x]]",((x-1)*(1-x)),0.25194057761045746,0,0,-2.000000005241418,False,False,-0.95951952966677001
Gamma,t2c_gamma_is,2,3,"sub[div[x,1],pow[x,x]]","((x/1)-pow(x,x))",0.25354542550224218,0,3.6100445031006685e-08,-20.582106297432802,False,False,-0.96654375681440396
Gamma,t2c_gamma_is,2,4,"sub[sqrt[x],pow[x,x]]","(sqrt(x)-pow(x,x))",0.2546393772152622,0,-0.49999996841550637,-42.847428372650029,False,False,-0.96639421117488866
Gamma,t2c_gamma_is,2,5,"mul[log[x],sub[1,x]]",(log(x)*(1-x)),0.2612153007268353,0,-3.6128175133563322e-08,-417.66990810390416,False,False,-0.99797538215832682
Gamma,t2c_gamma_is,2,6,"eml[sub[x,1],eml[x,x]]","EML((x-1),EML(x,x))",0.26481272025509084,0,0.36787940716586565,-76.395751220365128,False,False,-0.96884747769734803
Gamma,t2c_gamma_is,2,7,"div[sub[x,1],eml[x,1]]","((x-1)/EML(x,1))",0.26723972379063626,0,0.36787942788315564,-2.8055913002172019,False,False,-0.94148829586453697
Gamma,t2c_gamma_is,2,8,"eml[log[x],eml[x,x]]","EML(log(x),EML(x,x))",0.26789018532842002,0,0.36787941920265782,-76.782547352948313,False,False,-0.96395082416529176
Gamma,t2c_gamma_is,2,9,"div[log[x],eml[x,x]]","(log(x)/EML(x,x))",0.26860361434881608,0,0.36787943147581348,-11.600190464319894,False,False,-0.92048285288669429
Gamma,t2c_gamma_is,2,10,"div[log[x],eml[1,x]]","(log(x)/EML(1,x))",0.26937959968993386,0,0.36787943849232052,-21.538513304681146,False,False,-0.91973430486299745
Gamma,t2c_gamma_is,2,11,"div[sub[x,1],eml[x,x]]","((x-1)/EML(x,x))",0.27324884594706722,0,0.36787944873601586,-0.46499881748468397,False,False,-0.79760338920524698
Gamma,t2c_gamma_is,2,12,log[sqrt[x]],log(sqrt(x)),0.27406419604427606,0,0.49999998795666589,-198.86339936659351,False,False,-0.97103831197308399
Gamma,t2c_gamma_is,2,13,"sub[sqrt[x],1]",(sqrt(x)-1),0.27416148891994918,0,0.49999999548404861,-22.265322087183449,False,False,-0.92453963632971581
Gamma,t2c_gamma_is,2,14,"div[sub[x,1],eml[1,x]]","((x-1)/EML(1,x))",0.27464722110008716,0,0.36787944246349813,0.27068585988399718,True,False,-0.78854616828074819
Gamma,t2c_gamma_is,2,15,"div[sub[x,1],add[1,x]]",((x-1)/(1+x)),0.2746625815659523,0,0.49999999096881476,-3.4539435732513084,False,False,-0.93012775172005224
Gamma,t2c_gamma_is,2,16,"mul[sub[1,x],mul[x,x]]",((1-x)*(x*x)),0.2749388544628929,0,-0.99999992777111135,-3.9991448289665641,False,False,0.27135631500270874
Gamma,t2c_gamma_is,2,17,"sub[div[x,1],sqrt[x]]",((x/1)-sqrt(x)),0.27916273453822366,0,0.50000000451595139,0.25005345531508283,True,False,-0.75057939900929571
Gamma,t2c_gamma_is,2,18,"div[log[x],eml[x,1]]","(log(x)/EML(x,1))",0.28028556877381372,0,0.36787940572759104,-419.05748374332325,False,False,-0.99422630311704963
Gamma,t2c_gamma_is,2,19,"div[sub[1,x],eml[1,x]]","((1-x)/EML(1,x))",0.28703583984989733,0,-0.36787944246349813,-8.7491173962221183,False,False,0.78854616828074819
Gamma,t2c_gamma_is,2,20,"div[log[x],add[1,x]]",(log(x)/(1+x)),0.29015372144697738,0,0.49999996989089857,-420.07271680945269,False,False,-0.99114686442221023
