grid_index,domain_value,sr_x,log_p_emp,log_p_fit,residual
322,5.3853475917382534,0.9075714075257918,-2.7894303819824513,-3.151577611453706,0.36214722947125466
323,5.4021129837809569,0.90803190012976054,-2.7988906263800826,-3.1579537654217527,0.35906313904167009
324,5.4188783758236605,0.90849096926127637,-2.8083912012840355,-3.1643283957975159,0.35593719451348038
325,5.4356437678663641,0.90894862369368856,-2.8179226657201415,-3.1707015119940993,0.35277884627395784
326,5.4524091599090676,0.90940487211948484,-2.8274757186634525,-3.1770731233376388,0.34959740467418632
327,5.4691745519517712,0.90985972315128349,-2.8370412665151576,-3.1834432390683736,0.34640197255321592
328,5.4859399439944747,0.91031318532280836,-2.8466104889825057,-3.1898118683416969,0.34320137935919126
329,5.5027053360371783,0.91076526708984928,-2.8561749026345962,-3.1961790202291898,0.34000411759459359
330,5.5194707280798818,0.91121597683120847,-2.8657264214079383,-3.2025447037196448,0.33681828231170652
331,5.5362361201225854,0.91166532284963264,-2.8752574133506674,-3.2089089277200662,0.33365151436939877
332,5.5530015121652898,0.9121133133727295,-2.8847607529241213,-3.215271701056662,0.33051094813254078
333,5.5697669042079934,0.91255995655387312,-2.8942298682253722,-3.2216330324758164,0.32740316425044425
334,5.5865322962506969,0.91300526047309338,-2.9036587825540279,-3.2279929306450512,0.32433414809102334
335,5.6032976882934005,0.91344923313795323,-2.9130421498202974,-3.23435140415397,0.32130925433367263
336,5.620063080336104,0.91389188248441311,-2.9223752833780967,-3.2407084615151902,0.3183331781370935
337,5.6368284723788076,0.91433321637768128,-2.9316541779642993,-3.2470641111652583,0.315409933200959
338,5.6535938644215111,0.91477324261305326,-2.9408755245319069,-3.2534183614655556,0.3125428369336487
339,5.6703592564642147,0.91521196891673728,-2.9500367178771558,-3.2597712207031879,0.3097345028260321
340,5.6871246485069182,0.91564940294666886,-2.9591358570766344,-3.2661226970918626,0.30698684001522825
341,5.7038900405496218,0.9160855522933119,-2.9681717388662645,-3.2724727987727524,0.30430105990648793
342,5.7206554325923253,0.91652042448045012,-2.9771438442071445,-3.2788215338153477,0.30167768960820318
343,5.7374208246350289,0.9169540269659654,-2.9860523183902301,-3.285168910218295,0.29911659182806494
344,5.7541862166777324,0.9173863671426048,-2.99489794512994,-3.2915149359102251,0.29661699078028514
345,5.7709516087204369,0.91781745233873724,-3.0036821151834445,-3.2978596187505653,0.2941775035671208
346,5.7877170007631404,0.91824728981909842,-3.0124067901054703,-3.3042029665303452,0.29179617642487488
347,5.804482392805844,0.91867588678552625,-3.0210744618061462,-3.3105449869729853,0.28947052516683902
348,5.8212477848485475,0.91910325037768414,-3.029688108620777,-3.3168856877350805,0.28719757911430355
349,5.8380131768912511,0.91952938767377457,-3.0382511486246702,-3.3232250764071658,0.28497392778249564
350,5.8547785689339547,0.91995430569124315,-3.046767390933514,-3.3295631605144749,0.28279576958096087
351,5.8715439609766582,0.92037801138747133,-3.0552409857206135,-3.3358999475176887,0.28065896179707517
352,5.8883093530193618,0.92080051166046029,-3.0636763736576955,-3.3422354448136677,0.27855907115597223
353,5.9050747450620653,0.92122181334950448,-3.0720782354479823,-3.3485696597361834,0.27649142428820106
354,5.9218401371047689,0.92164192323585636,-3.0804514420694113,-3.354902599556628,0.2744511574872166
355,5.9386055291474724,0.92206084804338095,-3.0888010062864226,-3.3612342714847232,0.27243326519830058
356,5.955370921190176,0.92247859443920144,-3.0971320359207613,-3.367564682669216,0.2704326467484548
357,5.9721363132328795,0.92289516903433633,-3.1054496892997538,-3.3738938401985621,0.26844415089880824
358,5.9889017052755831,0.92331057838432684,-3.1137591332252161,-3.3802217511016037,0.26646261787638759
359,6.0056670973182875,0.92372482898985586,-3.1220655037314247,-3.3865484223482349,0.26448291861681028
360,6.0224324893609911,0.92413792729735855,-3.1303738698272787,-3.3928738608500604,0.26249999102278165
361,6.0391978814036946,0.92454987969962377,-3.1386892003487783,-3.3991980734610419,0.26050887311226356
362,6.0559632734463982,0.92496069253638891,-3.1470163339844603,-3.4055210669781388,0.25850473299367849
363,6.0727286654891017,0.92537037209492334,-3.15535995248004,-3.4118428481419394,0.25648289566189941
364,6.0894940575318053,0.92577892461060785,-3.1637245569795511,-3.4181634236372789,0.25443886665772775
365,6.1062594495745088,0.92618635626750256,-3.1721144474207095,-3.4244828000938563,0.25236835267314683
366,6.1230248416172124,0.92659267319890903,-3.180533704870439,-3.4308009840868374,0.25026727921639846
367,6.1397902336599159,0.92699788148792484,-3.188986176664462,-3.4371179821374516,0.24813180547298952
368,6.1565556257026195,0.92740198716798894,-3.1974754642001888,-3.4434338007135801,0.24595833651339127
369,6.173321017745323,0.92780499622342127,-3.2060049132260042,-3.4497484462303354,0.24374353300433116
370,6.1900864097880266,0.92820691458995497,-3.2145776064699452,-3.4560619250506361,0.24148431858069097
371,6.2068518018307302,0.92860774815526015,-3.2231963584569985,-3.4623742434857698,0.23917788502877135
372,6.2236171938734346,0.92900750275946165,-3.2318637123743641,-3.4686854077959488,0.23682169542158471
373,6.2403825859161381,0.9294061841956498,-3.2405819388578516,-3.4749954241908636,0.23441348533301198
374,6.2571479779588417,0.92980379821038373,-3.2493530365878245,-3.4813042988302216,0.23195126224239715
375,6.2739133700015453,0.93020035050418848,-3.2581787345991988,-3.4876120378242845,0.22943330322508571
376,6.2906787620442488,0.93059584673204643,-3.2670604962252576,-3.4939186472343935,0.22685815100913587
377,6.3074441540869524,0.93099029250387899,-3.2759995246085056,-3.5002241330734929,0.22422460846498726
378,6.3242095461296559,0.93138369338502613,-3.2849967697225901,-3.5065285013066418,0.22153173158405171
379,6.3409749381723595,0.93177605489671622,-3.2940529368563882,-3.512831757851524,0.21877882099513579
380,6.357740330215063,0.93216738251653208,-3.3031684965144112,-3.5191339085789433,0.21596541206453201
381,6.3745057222577666,0.93255768167886854,-3.312343695686049,-3.5254349593133232,0.21309126362727415
382,6.3912711143004701,0.93294695777538628,-3.3215785704301051,-3.5317349158331908,0.2101563454030857
383,6.4080365063431737,0.93333521615545789,-3.3308729597100535,-3.5380337838716578,0.20716082416160431
384,6.4248018983858772,0.93372246212661025,-3.3402265204004093,-3.5443315691168968,0.20410504871648749
385,6.4415672904285808,0.93410870095495813,-3.3496387433655399,-3.550628277212609,0.20098953384706908
386,6.4583326824712852,0.93449393786563517,-3.3591089704900172,-3.5569239137584847,0.19781494326846749
387,6.4750980745139888,0.93487817804321782,-3.3686364125150603,-3.5632184843106627,0.19458207179560238
388,6.4918634665566923,0.93526142663214318,-3.3782201675095758,-3.5695119943821796,0.19129182687260382
389,6.5086288585993959,0.93564368873712345,-3.3878592397777862,-3.5758044494434138,0.18794520966562756
390,6.5253942506420994,0.93602496942355329,-3.3975525589796591,-3.582095854922525,0.18454329594286589
391,6.542159642684803,0.93640527371791216,-3.4072989992160534,-3.5883862162058882,0.18108721698983477
392,6.5589250347275065,0.93678460660816254,-3.4170973978091439,-3.5946755386385201,0.17757814082937617
393,6.5756904267702101,0.93716297304414253,-3.4269465734908793,-3.6009638275245015,0.17401725403362223
394,6.5924558188129136,0.93754037793795286,-3.4368453436990638,-3.6072510881273976,0.17040574442833378
395,6.6092212108556172,0.93791682616434002,-3.4467925406727788,-3.6135373256706629,0.16674478499788403
396,6.6259866028983208,0.93829232256107331,-3.4567870260371043,-3.6198225453380557,0.16303551930095139
397,6.6427519949410243,0.93866687192931919,-3.4668277035715613,-3.6261067522740329,0.15927904870247156
398,6.6595173869837279,0.93904047903400822,-3.4769135298680021,-3.6323899515841482,0.15547642171614617
399,6.6762827790264323,0.93941314860419967,-3.4870435226018617,-3.6386721483354467,0.15162862573358504
400,6.6930481710691359,0.9397848853334404,-3.4972167661654932,-3.6449533475568452,0.14773658139135204
