slug,name,cutoff,winner,zipf,zm,moe,softk,softk_minus_moe,softk_minus_zm,step2_help,step2_gain
decline_and_fall_vol1,Decline and Fall Vol 1,top1000,moe,5.436133827535233,5.435461614685787,5.426234252905923,5.435170308688973,0.008936055783050456,-0.00029130599681348457,0,-0.010055556777750746
decline_and_fall_vol1,Decline and Fall Vol 1,full,softk,6.721170793180686,6.7211701084082005,6.721115289041511,6.717869269968219,-0.003246019073292139,-0.003300838439981746,0,-3.291230885033025e-05
emile,Emile,top50,zm,4.453895568875522,4.352075402886931,4.3960579430408355,4.360680159222673,-0.03537778381816281,0.008604756335741648,0,-0.016187483773597716
emile,Emile,top100,zm,4.820690730674891,4.674715912867123,4.703626031731037,4.686633683866927,-0.01699234786411008,0.011917770999803956,0,-0.019719263491409886
emile,Emile,top200,zm,5.127952150927283,4.968084763530409,4.980020244235746,4.981817292351563,0.001797048115816935,0.013732528821154055,0,-0.016781660722538075
emile,Emile,top500,moe,5.517675538181122,5.363260635249666,5.356437245974481,5.371154509713109,0.014717263738627473,0.00789387446344314,0,-0.014492800456153185
emile,Emile,top1000,moe,5.813055776984534,5.6752215463133915,5.660336761732009,5.671226523200708,0.010889761468699355,-0.0039950231126830715,0,-0.013520287914714442
emile,Emile,full,zm,6.550809484270299,6.487121711325544,6.489192155925541,6.489722409140335,0.000530253214794385,0.0026006978147909976,0,-0.0014853490399472646
ulysses,Ulysses,top50,softk,4.433003532341992,4.404113010404813,4.446221628751971,4.398277861568598,-0.0479437671833729,-0.005835148836214721,0,-0.04073608901014368
ulysses,Ulysses,top100,zm,4.781817817356673,4.728558905256893,4.763646609696205,4.732321679565584,-0.0313249301306211,0.003762774308690986,0,-0.03159346187634234
ulysses,Ulysses,top200,zm,5.121338797601226,5.055669882128655,5.079755953310781,5.067297328551951,-0.012458624758830084,0.011627446423295495,0,-0.02684189722383673
ulysses,Ulysses,top500,zm,5.540257780766808,5.470330416503,5.479895027031668,5.483134024528556,0.003238997496887386,0.012803608025556024,0,-0.01896928233583027
ulysses,Ulysses,top1000,zm,5.862616264961333,5.795471764045913,5.795661043640454,5.801951464355526,0.0062904207150724645,0.006479700309613534,0,-0.01700065562211652
ulysses,Ulysses,full,zm,7.366644172022561,7.351230348257138,7.360040275685457,7.353701494174882,-0.006338781510574876,0.002471145917744444,0,-0.0014928215431750796
collected_poe,Collected Poe,top50,zm,4.199280129026332,4.179861349926951,4.2017972007545366,4.191279487394818,-0.010517713359718961,0.011418137467866352,0,-0.004929454671550565
collected_poe,Collected Poe,top100,zm,4.524377163549808,4.4930209939628405,4.505934752337151,4.512733457779536,0.0067987054423852555,0.019712463816695447,1,0.006184571594613317
collected_poe,Collected Poe,top200,zm,4.8378762335872985,4.8016944135777,4.805482678235805,4.823545695858322,0.018063017622517386,0.02185128228062183,0,-0.01053805770801948
collected_poe,Collected Poe,top500,moe,5.2852761238213,5.249569965283401,5.242888594525398,5.261193673448403,0.018305078923005702,0.011623708165002355,0,-0.008540057012270022
collected_poe,Collected Poe,top1000,moe,5.638997221039041,5.6078190570994835,5.596484838477382,5.604444614724925,0.007959776247543182,-0.0033744423745583063,0,-0.0005857657114070255
collected_poe,Collected Poe,full,zm,6.6683107797436625,6.664039209234085,6.666311949576639,6.671484550103681,0.00517260052704227,0.007445340869596251,0,-0.0014374047840695625
principia_ethica,Principia Ethica,top50,zm,4.237266403795237,4.1256637674863175,4.164913281864689,4.162561069512414,-0.0023522123522754512,0.03689730202609631,0,-0.029716254018627264
principia_ethica,Principia Ethica,top100,zm,4.61693450370177,4.4726797687925375,4.491174500901497,4.515502094982316,0.02432759408081875,0.04282232618977844,0,-0.028501125662964352
principia_ethica,Principia Ethica,top200,moe,4.968923956673797,4.820424918279281,4.819804924879465,4.8402951780640375,0.020490253184572538,0.019870259784756428,0,-0.022200029145755883
principia_ethica,Principia Ethica,top500,softk,5.413707281053986,5.287810156049993,5.272362574611397,5.26446786400104,-0.007894710610356626,-0.02334229204895255,0,-0.01860951240714815
principia_ethica,Principia Ethica,top1000,softk,5.678730166041172,5.578195730670632,5.562268670457861,5.542982838965928,-0.01928583149193308,-0.03521289170470343,0,-0.015609427234011639
principia_ethica,Principia Ethica,full,softk,5.978310064484517,5.917476589984626,5.913923711681961,5.91068217315341,-0.0032415385285506915,-0.006794416831215955,0,-0.0013513877342089253
critique_of_pure_reason,Critique of Pure Reason,top50,zm,4.045428572319184,3.9829844954016393,4.0158889820988595,4.041621006090192,0.02573202399133212,0.058636510688552246,0,-0.03248781840147491
critique_of_pure_reason,Critique of Pure Reason,top100,zm,4.4602154706948705,4.36755431672522,4.377708135854066,4.406737516984039,0.02902938112997333,0.03918320025881883,0,-0.028760180575408065
critique_of_pure_reason,Critique of Pure Reason,top200,moe,4.851623238905593,4.751156177262219,4.741349091469067,4.756348870192131,0.014999778723064239,0.0051926929299117575,0,-0.023210075522457595
critique_of_pure_reason,Critique of Pure Reason,top500,softk,5.307766245707306,5.2183003005275745,5.193841933658381,5.180955823993129,-0.012886109665251944,-0.037344476534445725,0,-0.01756711716991241
critique_of_pure_reason,Critique of Pure Reason,top1000,softk,5.585480104735576,5.511309632552731,5.485084370985081,5.461634962853069,-0.023449408132012017,-0.0496746696996615,0,-0.016402075731143738
critique_of_pure_reason,Critique of Pure Reason,full,softk,6.00665335524234,5.967962608254694,5.9564279569814556,5.952965161503562,-0.003462795477893188,-0.01499744675113135,0,-0.0015729479215106368
