slug,corpus,gate_family,seed,a1,b1,c1,a2,b2,c2,k,w_gate,w_tail,BIC,final_rmse,k_hit_lower_bound,k_hit_upper_bound,w_gate_hit_lower_bound,w_gate_hit_upper_bound,w_tail_hit_lower_bound,w_tail_hit_upper_bound,any_bounds_hit,best_start_index,best_nfev,wall_clock_seconds,peak_memory_mb,starts_within_1_bic,optimizer_warm_start_info,dispersion_min_bic,dispersion_median_bic,dispersion_max_bic,dispersion_across_starts,parameter_source
pride_and_prejudice,Pride and Prejudice,erf,20260415,,,,,,,188.7356305528288,3.0555412059880673,0.4196181327186189,-29858.72224880925,0.10811561015530731,False,False,False,False,False,False,False,88,81,1382.3059022426605,72.1484375,19,100 random starts; best objective selected; per-start dispersion summarized.,-29858.72224880925,-25938.675696191793,-24409.504049161336,min=-29858.72224880925;median=-25938.675696191793;max=-24409.504049161336;within1=19,non-logistic a/b/c coefficients not saved in source bundle
pride_and_prejudice,Pride and Prejudice,algebraic,20260415,,,,,,,242.10643443109151,3.0866221149899093,0.3204287594833344,-29744.879210534924,0.10903405383552892,False,False,False,False,False,False,False,53,111,195.7372691631317,72.09375,18,100 random starts; best objective selected; per-start dispersion summarized.,-29744.879210534924,-25850.137149994145,-24578.340876830236,min=-29744.879210534924;median=-25850.137149994145;max=-24578.340876830236;within1=18,non-logistic a/b/c coefficients not saved in source bundle
pride_and_prejudice,Pride and Prejudice,arctan,20260415,,,,,,,153.96475550148102,0.9898489545910135,0.5122223433848797,-29591.632196920826,0.11028272668769792,False,False,False,False,False,False,False,23,59,38.90374040603638,72.09375,13,100 random starts; best objective selected; per-start dispersion summarized.,-29591.632196920826,-25821.567292104697,-24899.971805342586,min=-29591.632196920826;median=-25821.567292104697;max=-24899.971805342586;within1=13,non-logistic a/b/c coefficients not saved in source bundle
canterbury_tales,Canterbury Tales,logistic,20260415,21.513011859474833,2.999999999999997,66.14955296662522,19.180846804581513,1.9755605611279707,999.9999999992546,231.42645316925285,1.524570752400384,0.8591194229321376,-77302.73954179128,0.1116931530691017,False,False,False,False,False,False,False,49,74,1688.218076467514,75.6796875,54,100 random starts; best objective selected; per-start dispersion summarized.,-77302.73954179128,-77302.73877963636,-64888.93659696765,min=-77302.73954179128;median=-77302.73877963636;max=-64888.93659696765;within1=54,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
canterbury_tales,Canterbury Tales,tanh,20260415,,,,,,,231.39798086982026,3.0492301094179948,0.8592273326368882,-77302.73953743283,0.11169315308289,False,False,False,False,False,False,False,78,178,761.3986599445343,76.046875,62,100 random starts; best objective selected; per-start dispersion summarized.,-77302.73953743283,-77302.73929386973,-64260.104596293066,min=-77302.73953743283;median=-77302.73929386973;max=-64260.104596293066;within1=62,non-logistic a/b/c coefficients not saved in source bundle
canterbury_tales,Canterbury Tales,erf,20260415,,,,,,,204.06973809343242,3.1733354287062143,0.9737523453444294,-77502.92720830099,0.11106163658359915,False,False,False,False,False,False,False,41,46,1939.1930084228516,76.08203125,59,100 random starts; best objective selected; per-start dispersion summarized.,-77502.92720830099,-77502.92694938365,-63358.5981189942,min=-77502.92720830099;median=-77502.92694938365;max=-63358.5981189942;within1=59,non-logistic a/b/c coefficients not saved in source bundle
canterbury_tales,Canterbury Tales,algebraic,20260415,,,,,,,298.64351449702775,3.5580915736427965,0.656061929792002,-77110.540706041,0.1123028463788381,False,False,False,False,False,False,False,90,69,612.8726627826691,76.08203125,40,100 random starts; best objective selected; per-start dispersion summarized.,-77110.540706041,-76680.1576264862,-64141.28044818472,min=-77110.540706041;median=-76680.1576264862;max=-64141.28044818472;within1=40,non-logistic a/b/c coefficients not saved in source bundle
canterbury_tales,Canterbury Tales,arctan,20260415,,,,,,,373.71078069305145,2.618339087733559,0.5120979535329396,-76707.60418270087,0.11359186583782768,False,False,False,False,False,False,False,35,51,873.557254076004,76.09375,11,100 random starts; best objective selected; per-start dispersion summarized.,-76707.60418270087,-76636.70751123122,-63442.55609486576,min=-76707.60418270087;median=-76636.70751123122;max=-63442.55609486576;within1=11,non-logistic a/b/c coefficients not saved in source bundle
arabian_nights_vol1,Arabian Nights (Vol 1),logistic,20260415,21.075872806681282,2.999999999951201,58.58842291138375,18.592399235804347,1.9832761266984238,999.9999997862136,117.66504681776608,1.6332426634536885,1.2059007770169066,-62148.98979809186,0.1063090951224931,False,False,False,False,False,False,False,88,101,1925.5428833961487,75.5625,47,100 random starts; best objective selected; per-start dispersion summarized.,-62148.98979809186,-61892.16123978996,-49167.793225250025,min=-62148.98979809186;median=-61892.16123978996;max=-49167.793225250025;within1=47,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
arabian_nights_vol1,Arabian Nights (Vol 1),tanh,20260415,,,,,,,117.66931662319607,3.2665129262427754,1.2058569926484868,-62148.989798105526,0.1063090951224408,False,False,False,False,False,False,False,72,79,2171.3892533779144,75.49609375,48,100 random starts; best objective selected; per-start dispersion summarized.,-62148.989798105526,-61892.16124345499,-49167.7932988606,min=-62148.989798105526;median=-61892.16124345499;max=-49167.7932988606;within1=48,non-logistic a/b/c coefficients not saved in source bundle
arabian_nights_vol1,Arabian Nights (Vol 1),erf,20260415,,,,,,,98.18320419389575,3.3231848346838904,1.4457805577609077,-62245.80677113453,0.10593905258172043,False,False,False,False,False,False,False,59,74,2876.7967762947083,75.4296875,51,100 random starts; best objective selected; per-start dispersion summarized.,-62245.80677113453,-62245.80636078838,-49168.63169038692,min=-62245.80677113453;median=-62245.80636078838;max=-49168.63169038692;within1=51,non-logistic a/b/c coefficients not saved in source bundle
arabian_nights_vol1,Arabian Nights (Vol 1),algebraic,20260415,,,,,,,216.4796615532203,3.8231850130818685,0.6405634434770424,-62079.617358463474,0.10657503699241677,False,False,False,False,False,False,False,90,70,1043.126967906952,75.44921875,31,100 random starts; best objective selected; per-start dispersion summarized.,-62079.617358463474,-61880.693797506756,-47753.682022928864,min=-62079.617358463474;median=-61880.693797506756;max=-47753.682022928864;within1=31,non-logistic a/b/c coefficients not saved in source bundle
arabian_nights_vol1,Arabian Nights (Vol 1),arctan,20260415,,,,,,,318.85933158809826,0.5632724490262015,0.4292585945518322,-61835.07851509696,0.10751780291188766,False,False,False,False,False,False,False,90,132,323.28231620788574,75.453125,54,100 random starts; best objective selected; per-start dispersion summarized.,-61835.07851509696,-61835.07841065141,-47651.16611624128,min=-61835.07851509696;median=-61835.07841065141;max=-47651.16611624128;within1=54,non-logistic a/b/c coefficients not saved in source bundle
aesops_fables,Aesop's Fables,logistic,20260415,8.312413807409754,0.9070190850212664,0.16662818658979064,17.654716039235584,2.154993866981873,999.9999999999999,223.99213588551177,0.2857743291995335,0.19440055225392386,-19411.00432153534,0.10889204481322816,False,False,False,False,False,False,False,40,42,313.7023358345032,72.21875,2,100 random starts; best objective selected; per-start dispersion summarized.,-19411.00432153534,-16848.384715257922,-15687.506037148394,min=-19411.00432153534;median=-16848.384715257922;max=-15687.506037148394;within1=2,s2_v3_logistic_local_params.csv for a/b/c; s2_v3_per_fit_results.csv for k/w/BIC/RMSE
aesops_fables,Aesop's Fables,tanh,20260415,,,,,,,223.99010773058015,0.5715327371033329,0.1944023559651666,-19411.00432170216,0.10889204481116112,False,False,False,False,False,False,False,6,215,207.74549555778503,72.25390625,2,100 random starts; best objective selected; per-start dispersion summarized.,-19411.00432170216,-16848.571181137275,-15687.62280577324,min=-19411.00432170216;median=-16848.571181137275;max=-15687.62280577324;within1=2,non-logistic a/b/c coefficients not saved in source bundle
aesops_fables,Aesop's Fables,erf,20260415,,,,,,,209.23104367329384,0.7344009526763349,0.20916656667229844,-19415.52168323879,0.10883608460089764,False,False,False,False,False,False,False,9,35,541.6133725643158,72.3046875,2,100 random starts; best objective selected; per-start dispersion summarized.,-19415.52168323879,-16855.808901344983,-15693.856779297243,min=-19415.52168323879;median=-16855.808901344983;max=-15693.856779297243;within1=2,non-logistic a/b/c coefficients not saved in source bundle
aesops_fables,Aesop's Fables,algebraic,20260415,,,,,,,222.9562567030431,0.5663696921669149,0.19493177817172902,-19408.545909417127,0.10892251124134805,False,False,False,False,False,False,False,25,22,42.02168083190918,72.2265625,6,100 random starts; best objective selected; per-start dispersion summarized.,-19408.545909417127,-16836.52301602708,-15681.59772407582,min=-19408.545909417127;median=-16836.52301602708;max=-15681.59772407582;within1=6,non-logistic a/b/c coefficients not saved in source bundle
aesops_fables,Aesop's Fables,arctan,20260415,,,,,,,220.62082937202607,0.3406293020836964,0.196175868569616,-19390.121795144678,0.10915110772541783,False,False,False,False,False,False,False,54,149,32.36105275154114,72.21484375,18,100 random starts; best objective selected; per-start dispersion summarized.,-19390.121795144678,-16815.686716783654,-15839.32501561999,min=-19390.121795144678;median=-16815.686716783654;max=-15839.32501561999;within1=18,non-logistic a/b/c coefficients not saved in source bundle
