slug,corpus,token_count,vocabulary_size,variant,test_avg_nll,bic,rmse,step2_gain,step2_help,params_json,canonical_source
the_iliad,The Iliad,194969,12300,three_regime,6.880239132760682,2677605.077176679,0.1878786030866534,-9.563207767071535e-05,False,"{""b1"": 1.040526179541475, ""b2"": 0.7572007172624612, ""b3"": 1.4341401483703795, ""c1"": 0.27898959251824984, ""c2"": 0.0003756497288439859, ""c3"": 195.7216912718573, ""k1"": 200.0, ""k2"": 211.53301650273477, ""transition_fraction_2"": 0.5685653087799505, ""w1"": 0.8539908814193939, ""w2"": 1.411338320858337}",results/zipf_fully_ours_variants/summary.json
democracy_in_america,Democracy in America,187753,9301,nested,6.311073358392534,2354190.0364095317,0.23445368825629084,0.004945985292669597,True,"{""b1"": 2.251227263131723, ""b2"": 1.8023811343990175, ""b3"": 1.4006109943165082, ""c1"": 2.849083093878067, ""c2"": 7.359132620193087, ""c3"": 99.95912561293123, ""k"": 117.4792089719293, ""transition_fraction"": 0.5215939400981876, ""w"": 4.999803041306734}",results/zipf_fully_ours_variants/summary.json
democracy_in_america,Democracy in America,187753,9301,three_regime,6.312922212170155,2354636.002288694,0.3098736448174607,0.08477798981766316,True,"{""b1"": 2.4119921988425013, ""b2"": 1.099786526153751, ""b3"": 1.2539999921145113, ""c1"": 1703.0692204720679, ""c2"": 0.0038097559647449603, ""c3"": 65.88080215186011, ""k1"": 5.176881328118766, ""k2"": 200.0, ""transition_fraction_2"": 0.5798192786402786, ""w1"": 2.759628365819138, ""w2"": 3.7231267222770823}",results/zipf_fully_ours_variants/summary.json
origin_of_species,Origin of Species,156024,6887,nested,6.372600270937267,1982658.1667883052,0.20043365549379427,-0.000614690962884773,False,"{""b1"": 2.2734415889647903, ""b2"": 1.7741228380998568, ""b3"": 1.5414817751040715, ""c1"": 5.963526417147778, ""c2"": 22.44518622324581, ""c3"": 100.63792189282363, ""k"": 100.43090111741564, ""transition_fraction"": 0.5215871986769672, ""w"": 0.6489335615082517}",results/zipf_fully_ours_variants/summary.json
origin_of_species,Origin of Species,156024,6887,three_regime,6.375133434653076,1984457.5340807242,0.2470906163130199,0.026364694541916034,True,"{""b1"": 2.4429557485141884, ""b2"": 2.124622201786697, ""b3"": 1.5027892133236564, ""c1"": 1709.119415852757, ""c2"": 3.911542924835942, ""c3"": 68.79503140163496, ""k1"": 5.850575292728618, ""k2"": 206.02063231911043, ""transition_fraction_2"": 0.6028901977692043, ""w1"": 3.0, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
wealth_of_nations,Wealth of Nations,380080,9478,nested,6.154334188995149,4672794.127042075,0.18148362599455015,-0.0008768021509213408,False,"{""b1"": 2.9384174578613416, ""b2"": 2.2723864185569456, ""b3"": 1.8775344095389295, ""c1"": 8.60524267428489, ""c2"": 34.50604758562426, ""c3"": 280.2457556482143, ""k"": 30.965619465641463, ""transition_fraction"": 0.3749021827065678, ""w"": 4.0819224948378015}",results/zipf_fully_ours_variants/summary.json
wealth_of_nations,Wealth of Nations,380080,9478,three_regime,6.158828346859471,4676548.274062752,0.3550219119444664,0.12164704063464735,True,"{""b1"": 0.7882887275123136, ""b2"": 4.258216851400646, ""b3"": 5.0, ""c1"": 0.0, ""c2"": 3055.3778529875435, ""c3"": 1871.5441630764349, ""k1"": 200.0, ""k2"": 657.2189123002547, ""transition_fraction_2"": 0.7085518687365225, ""w1"": 1.369377012692503, ""w2"": 5.0}",results/zipf_fully_ours_variants/summary.json
les_miserables,Les Miserables,575614,22677,nested,6.799056266974928,7801838.574122019,0.3983941896292147,0.1539317334952047,True,"{""b1"": 1.2426136007663167, ""b2"": 1.0409118320689206, ""b3"": 1.2870720577287291, ""c1"": 1.7577904344042792, ""c2"": 1.8642786182372444, ""c3"": 1383.0957803167921, ""k"": 188.09921470986552, ""transition_fraction"": 0.5221770827781214, ""w"": 4.183184743228057}",results/zipf_fully_ours_variants/summary.json
les_miserables,Les Miserables,575614,22677,three_regime,6.799931050528655,7798844.470468634,0.3057321174512062,0.10161073171816379,True,"{""b1"": 0.7959441595437873, ""b2"": 1.0215646782151304, ""b3"": 1.535163468800735, ""c1"": 2.368421800237032, ""c2"": 245.9082198447622, ""c3"": 1383.1120327792314, ""k1"": 5.0, ""k2"": 200.00250769711764, ""transition_fraction_2"": 0.5282953091296495, ""w1"": 1.7306794395006502, ""w2"": 3.0724239252879304}",results/zipf_fully_ours_variants/summary.json
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,nested,6.716004567082809,3508912.0233189566,0.18766968511904836,0.0011957365261063835,True,"{""b1"": 0.6871142475555702, ""b2"": 1.5486445479189508, ""b3"": 2.118871096754824, ""c1"": 4996.085684170606, ""c2"": 919.788055782935, ""c3"": 16.570364683782156, ""k"": 664.1263069098184, ""transition_fraction"": 0.6713796608815452, ""w"": 4.8876442818239445}",results/zipf_fully_ours_variants/summary.json
