corpus,V,k,rmse,bic,w_gate,w_tail,s
Jane Eyre,12541,102.07847284895003,0.1154369467436616,-54067.880042867575,3.223914645281495,1.4730081849121048,150.36242600983147
Jane Eyre,12541,141.4213562373095,0.11504562539221164,-54153.05031389755,3.1316754685749664,1.058072787420293,149.63408859476831
Jane Eyre,12541,221.77697916056016,0.11481838071765246,-54202.64270446465,2.977494705497495,0.6687209129824435,148.30690398273813
Jane Eyre,12541,271.4417616594907,0.11487880284518764,-54189.44700206824,2.88761605616376,0.5434833941182162,147.52408993212788
Complete Sherlock Holmes,7817,376.0603093086394,0.11038932675727785,-34372.62322967004,0.6089607967473293,0.2199546038566896,82.71619636020594
Jane Eyre,12541,521.0007309586913,0.1164979736314946,-53838.39444400345,2.4746710696550673,0.2757237360569279,143.6522680283207
Jane Eyre,12541,376.0603093086394,0.11532270280546819,-54092.7151186486,2.7049979765081478,0.3879611304323604,145.89678271012284
Jane Eyre,12541,721.8038036465944,0.14867681748440317,-47720.86803373935,2.0550815002039635,1.5970595691255993,1152.7636716450486
Dubliners,7157,27.70836049762948,0.11045382981349385,-31456.11634551889,4.415614240150491,2.615957870696429,72.48390372786787
Dubliners,7157,20.0,0.11066086609384378,-31429.311087995688,5.075983597800182,3.6181189398169074,72.36237879633815
Dubliners,7157,38.38766207332969,0.11034094697955794,-31470.752606840004,3.8348991149318965,1.889100813976948,72.51816366939914
Dubliners,7157,73.68062997280774,0.11056418662846201,-31441.82205760374,5.042499732738141,0.9765751195167196,71.95467002176191
Dubliners,7157,53.18295896944989,0.1104503150081177,-31456.57184556575,3.9126959882088976,1.363415994820151,72.5104969108118
Dubliners,7157,102.07847284895003,0.11058776084385252,-31438.770388158948,5.509739171168534,0.7000138076438381,71.45634045746166
Dubliners,7157,141.4213562373095,0.1105996563382919,-31437.23076976891,5.621562158313348,0.5009798287295093,70.84924682646223
Dubliners,7157,271.4417616594907,0.11109341986804666,-31373.469257929155,5.11843732459565,0.2539384556620743,68.92950175800391
Dubliners,7157,195.92769603435266,0.11068940509773861,-31425.62003939822,5.462682682464147,0.35749075198535074,70.04233939007796
Dubliners,7157,521.0007309586913,0.11023196917266818,-31484.896759095485,0.4273696319338364,0.12551787444336424,65.394904333374
Dubliners,7157,376.0603093086394,0.11094881180382596,-31392.113640201103,0.7945182942767233,0.17914260905898147,67.36842497307724
Dubliners,7157,522.3604258171179,0.11023190629806018,-31484.904923581726,0.4255200169222636,0.12516049779916583,65.3788909258547
Dubliners,7157,721.8038036465944,0.11122587669805906,-31356.412823166873,0.202724771869581,0.0872409009579352,62.97081414499345
The Iliad,12300,27.70836049762948,0.10902347771091696,-54433.56770046675,4.7863568975915145,5.327276262072483,147.61009113996843
The Iliad,12300,20.0,0.10934293265691475,-54361.59145407843,5.040870411886555,7.391696519612858,147.83393039225717
Jane Eyre,12541,195.92769603435266,0.11483776844952116,-54198.407824678936,3.025838120316504,0.7590664415333961,148.72213902663296
The Iliad,12300,38.38766207332969,0.10875302058201346,-54494.66932386195,4.566362444067194,3.838393878785386,147.34696712315062
Complete Sherlock Holmes,7817,721.8038036465944,0.11241588190475152,-34088.213030001825,1.220466086818918,0.10657077312708742,76.92318940068996
The Iliad,12300,53.18295896944989,0.10855161450536403,-54540.2697400914,4.3840693012911185,2.7648141782574007,147.04099900041666
Canterbury Tales,17653,721.8038036465944,0.15527885178005055,-65670.57278078381,2.522761692722907,1.7772472890555473,1282.8238532608923
Arabian Nights (Vol 1),13883,521.0007309586913,0.10837947558772529,-61613.442274749956,0.29944954708663196,0.2617699276765449,136.38232366248363
Arabian Nights (Vol 1),13883,721.8038036465944,0.11045424220164905,-61086.9265568004,2.2943630549445,0.18220362784762623,131.51527161862515
Complete Sherlock Holmes,7817,521.0007309586913,0.11126048113475394,-34249.7293927934,1.3961918588144764,0.15350388479840785,79.97563618496923
Complete Works of Shakespeare,24458,1000.0,0.15034654718748197,-92595.69776393013,2.194152018797752,2.239982158067801,2239.982158067801
Dubliners,7157,1000.0,0.11369839964611764,-31041.70140361151,0.19318850379963287,0.05912512305936977,59.12512305936977
The Iliad,12300,721.8038036465944,0.11616852504230887,-52871.99197516608,2.855640438071459,0.188508443587442,136.0661116009151
The Iliad,12300,521.0007309586913,0.11228415101684093,-53708.6187346248,3.1685984496957205,0.26785947027039797,139.55497980508517
Democracy in America,9301,27.70836049762948,0.11638425426085416,-39928.020095698506,4.279027331309765,4.328859744332976,119.94560633965429
Democracy in America,9301,20.0,0.11732191325728612,-39778.752094528594,4.5384486143152865,6.012166465715105,120.2433293143021
The Iliad,12300,1000.0,0.12043637331418308,-51984.43252884109,2.2586374591373666,0.1309344275782003,130.9344275782003
Democracy in America,9301,53.18295896944989,0.11456902426980872,-40220.439444361866,3.83935537049691,2.2403012682115024,119.1458504264989
Democracy in America,9301,38.38766207332969,0.1154550007802982,-40077.14122544365,4.044126573493718,3.115165922309122,119.583936727955
Democracy in America,9301,102.07847284895003,0.11309908271632628,-40460.65080383722,3.50800744171672,1.155738369621772,117.97600778392582
Democracy in America,9301,73.68062997280774,0.11376815782931586,-40350.92873637184,3.6628494529990427,1.6098836572232744,118.61724204713853
Democracy in America,9301,141.4213562373095,0.11261610606013973,-40540.25860975356,3.363857410317642,0.8286495953215915,117.18874961587716
Democracy in America,9301,195.92769603435266,0.11239894341338931,-40576.16430422613,3.2144656171392803,0.5930876164629707,116.20229024009566
